Round 0: src_acc=0.932407, tgt_acc=0.887407, best_tgt=0.887407
Round 1: src_acc=0.837963, tgt_acc=0.845185, best_tgt=0.887407
Round 2: src_acc=0.977037, tgt_acc=0.957037, best_tgt=0.957037
Round 3: src_acc=0.972037, tgt_acc=0.935556, best_tgt=0.957037
Round 4: src_acc=0.986852, tgt_acc=0.962963, best_tgt=0.962963
Round 5: src_acc=0.988704, tgt_acc=0.953333, best_tgt=0.962963
Round 6: src_acc=0.993148, tgt_acc=0.959259, best_tgt=0.962963
Round 7: src_acc=0.957778, tgt_acc=0.907407, best_tgt=0.962963
Round 8: src_acc=0.986296, tgt_acc=0.941481, best_tgt=0.962963
Round 9: src_acc=0.989259, tgt_acc=0.950370, best_tgt=0.962963
Round 10: src_acc=0.999259, tgt_acc=0.974074, best_tgt=0.974074
Round 11: src_acc=0.999630, tgt_acc=0.972593, best_tgt=0.974074
Round 12: src_acc=1.000000, tgt_acc=0.971852, best_tgt=0.974074
Round 13: src_acc=1.000000, tgt_acc=0.974074, best_tgt=0.974074
Round 14: src_acc=1.000000, tgt_acc=0.976296, best_tgt=0.976296
Round 15: src_acc=1.000000, tgt_acc=0.978519, best_tgt=0.978519
Round 16: src_acc=1.000000, tgt_acc=0.974074, best_tgt=0.978519
Round 17: src_acc=1.000000, tgt_acc=0.974074, best_tgt=0.978519
Round 18: src_acc=1.000000, tgt_acc=0.978519, best_tgt=0.978519
Round 19: src_acc=1.000000, tgt_acc=0.977778, best_tgt=0.978519
Round 20: src_acc=1.000000, tgt_acc=0.978519, best_tgt=0.978519
Round 21: src_acc=1.000000, tgt_acc=0.978519, best_tgt=0.978519
Round 22: src_acc=1.000000, tgt_acc=0.978519, best_tgt=0.978519
Round 23: src_acc=1.000000, tgt_acc=0.979259, best_tgt=0.979259
Round 24: src_acc=1.000000, tgt_acc=0.977778, best_tgt=0.979259
Round 25: src_acc=1.000000, tgt_acc=0.978519, best_tgt=0.979259
Round 26: src_acc=1.000000, tgt_acc=0.976296, best_tgt=0.979259
Round 27: src_acc=1.000000, tgt_acc=0.976296, best_tgt=0.979259
Round 28: src_acc=1.000000, tgt_acc=0.978519, best_tgt=0.979259
Round 29: src_acc=1.000000, tgt_acc=0.976296, best_tgt=0.979259
Round 30: src_acc=1.000000, tgt_acc=0.976296, best_tgt=0.979259
Round 31: src_acc=1.000000, tgt_acc=0.976296, best_tgt=0.979259
Round 32: src_acc=1.000000, tgt_acc=0.975556, best_tgt=0.979259
Round 33: src_acc=1.000000, tgt_acc=0.975556, best_tgt=0.979259
Round 34: src_acc=1.000000, tgt_acc=0.978519, best_tgt=0.979259
Round 35: src_acc=1.000000, tgt_acc=0.979259, best_tgt=0.979259
Round 36: src_acc=1.000000, tgt_acc=0.979259, best_tgt=0.979259
Round 37: src_acc=1.000000, tgt_acc=0.978519, best_tgt=0.979259
Round 38: src_acc=1.000000, tgt_acc=0.978519, best_tgt=0.979259
Round 39: src_acc=1.000000, tgt_acc=0.977037, best_tgt=0.979259
Round 40: src_acc=1.000000, tgt_acc=0.976296, best_tgt=0.979259
Round 41: src_acc=1.000000, tgt_acc=0.977037, best_tgt=0.979259
Round 42: src_acc=1.000000, tgt_acc=0.977037, best_tgt=0.979259
Round 43: src_acc=1.000000, tgt_acc=0.976296, best_tgt=0.979259
Round 44: src_acc=1.000000, tgt_acc=0.977037, best_tgt=0.979259
Round 45: src_acc=1.000000, tgt_acc=0.977037, best_tgt=0.979259
Round 46: src_acc=1.000000, tgt_acc=0.980000, best_tgt=0.980000
Round 47: src_acc=1.000000, tgt_acc=0.979259, best_tgt=0.980000
Round 48: src_acc=1.000000, tgt_acc=0.976296, best_tgt=0.980000
Round 49: src_acc=1.000000, tgt_acc=0.978519, best_tgt=0.980000
