Round 0: src_acc=0.949714, tgt_acc=0.790000, best_tgt=0.790000
Round 1: src_acc=0.878857, tgt_acc=0.698000, best_tgt=0.790000
Round 2: src_acc=0.937905, tgt_acc=0.777333, best_tgt=0.790000
Round 3: src_acc=0.996000, tgt_acc=0.888667, best_tgt=0.888667
Round 4: src_acc=0.913714, tgt_acc=0.669333, best_tgt=0.888667
Round 5: src_acc=0.990095, tgt_acc=0.873333, best_tgt=0.888667
Round 6: src_acc=0.995238, tgt_acc=0.880667, best_tgt=0.888667
Round 7: src_acc=0.944190, tgt_acc=0.753333, best_tgt=0.888667
Round 8: src_acc=0.997905, tgt_acc=0.850000, best_tgt=0.888667
Round 9: src_acc=0.998667, tgt_acc=0.894667, best_tgt=0.894667
Round 10: src_acc=1.000000, tgt_acc=0.914000, best_tgt=0.914000
Round 11: src_acc=1.000000, tgt_acc=0.902667, best_tgt=0.914000
Round 12: src_acc=1.000000, tgt_acc=0.908667, best_tgt=0.914000
Round 13: src_acc=1.000000, tgt_acc=0.903333, best_tgt=0.914000
Round 14: src_acc=1.000000, tgt_acc=0.906000, best_tgt=0.914000
Round 15: src_acc=1.000000, tgt_acc=0.906667, best_tgt=0.914000
Round 16: src_acc=1.000000, tgt_acc=0.910000, best_tgt=0.914000
Round 17: src_acc=1.000000, tgt_acc=0.919333, best_tgt=0.919333
Round 18: src_acc=1.000000, tgt_acc=0.914667, best_tgt=0.919333
Round 19: src_acc=1.000000, tgt_acc=0.910000, best_tgt=0.919333
Round 20: src_acc=1.000000, tgt_acc=0.919333, best_tgt=0.919333
Round 21: src_acc=1.000000, tgt_acc=0.911333, best_tgt=0.919333
Round 22: src_acc=1.000000, tgt_acc=0.922667, best_tgt=0.922667
Round 23: src_acc=1.000000, tgt_acc=0.914000, best_tgt=0.922667
Round 24: src_acc=1.000000, tgt_acc=0.910667, best_tgt=0.922667
Round 25: src_acc=1.000000, tgt_acc=0.915333, best_tgt=0.922667
Round 26: src_acc=1.000000, tgt_acc=0.913333, best_tgt=0.922667
Round 27: src_acc=1.000000, tgt_acc=0.913333, best_tgt=0.922667
Round 28: src_acc=1.000000, tgt_acc=0.914000, best_tgt=0.922667
Round 29: src_acc=1.000000, tgt_acc=0.913333, best_tgt=0.922667
Round 30: src_acc=1.000000, tgt_acc=0.913333, best_tgt=0.922667
Round 31: src_acc=1.000000, tgt_acc=0.907333, best_tgt=0.922667
Round 32: src_acc=1.000000, tgt_acc=0.914667, best_tgt=0.922667
Round 33: src_acc=1.000000, tgt_acc=0.920667, best_tgt=0.922667
Round 34: src_acc=1.000000, tgt_acc=0.918667, best_tgt=0.922667
Round 35: src_acc=1.000000, tgt_acc=0.922000, best_tgt=0.922667
Round 36: src_acc=1.000000, tgt_acc=0.916667, best_tgt=0.922667
Round 37: src_acc=1.000000, tgt_acc=0.912667, best_tgt=0.922667
Round 38: src_acc=1.000000, tgt_acc=0.919333, best_tgt=0.922667
Round 39: src_acc=1.000000, tgt_acc=0.919333, best_tgt=0.922667
Round 40: src_acc=1.000000, tgt_acc=0.917333, best_tgt=0.922667
Round 41: src_acc=1.000000, tgt_acc=0.920667, best_tgt=0.922667
Round 42: src_acc=1.000000, tgt_acc=0.915333, best_tgt=0.922667
Round 43: src_acc=1.000000, tgt_acc=0.904667, best_tgt=0.922667
Round 44: src_acc=1.000000, tgt_acc=0.921333, best_tgt=0.922667
Round 45: src_acc=1.000000, tgt_acc=0.909333, best_tgt=0.922667
Round 46: src_acc=1.000000, tgt_acc=0.912667, best_tgt=0.922667
Round 47: src_acc=1.000000, tgt_acc=0.904000, best_tgt=0.922667
Round 48: src_acc=1.000000, tgt_acc=0.910000, best_tgt=0.922667
Round 49: src_acc=1.000000, tgt_acc=0.906667, best_tgt=0.922667
