Round 0: src_acc=0.845524, tgt_acc=0.696000, best_tgt=0.696000
Round 1: src_acc=0.877143, tgt_acc=0.738667, best_tgt=0.738667
Round 2: src_acc=0.946857, tgt_acc=0.754667, best_tgt=0.754667
Round 3: src_acc=0.802095, tgt_acc=0.638000, best_tgt=0.754667
Round 4: src_acc=0.975238, tgt_acc=0.736000, best_tgt=0.754667
Round 5: src_acc=0.958476, tgt_acc=0.787333, best_tgt=0.787333
Round 6: src_acc=0.984381, tgt_acc=0.851333, best_tgt=0.851333
Round 7: src_acc=0.977333, tgt_acc=0.873333, best_tgt=0.873333
Round 8: src_acc=0.961143, tgt_acc=0.849333, best_tgt=0.873333
Round 9: src_acc=0.952952, tgt_acc=0.863333, best_tgt=0.873333
Round 10: src_acc=0.999238, tgt_acc=0.896000, best_tgt=0.896000
Round 11: src_acc=0.999619, tgt_acc=0.900667, best_tgt=0.900667
Round 12: src_acc=0.999619, tgt_acc=0.888000, best_tgt=0.900667
Round 13: src_acc=1.000000, tgt_acc=0.894667, best_tgt=0.900667
Round 14: src_acc=1.000000, tgt_acc=0.901333, best_tgt=0.901333
Round 15: src_acc=1.000000, tgt_acc=0.896000, best_tgt=0.901333
Round 16: src_acc=1.000000, tgt_acc=0.883333, best_tgt=0.901333
Round 17: src_acc=1.000000, tgt_acc=0.902000, best_tgt=0.902000
Round 18: src_acc=1.000000, tgt_acc=0.895333, best_tgt=0.902000
Round 19: src_acc=1.000000, tgt_acc=0.886000, best_tgt=0.902000
Round 20: src_acc=1.000000, tgt_acc=0.894667, best_tgt=0.902000
Round 21: src_acc=1.000000, tgt_acc=0.898667, best_tgt=0.902000
Round 22: src_acc=1.000000, tgt_acc=0.898667, best_tgt=0.902000
Round 23: src_acc=1.000000, tgt_acc=0.903333, best_tgt=0.903333
Round 24: src_acc=1.000000, tgt_acc=0.906667, best_tgt=0.906667
Round 25: src_acc=1.000000, tgt_acc=0.902000, best_tgt=0.906667
Round 26: src_acc=1.000000, tgt_acc=0.886667, best_tgt=0.906667
Round 27: src_acc=1.000000, tgt_acc=0.907333, best_tgt=0.907333
Round 28: src_acc=1.000000, tgt_acc=0.910000, best_tgt=0.910000
Round 29: src_acc=1.000000, tgt_acc=0.894667, best_tgt=0.910000
Round 30: src_acc=1.000000, tgt_acc=0.889333, best_tgt=0.910000
Round 31: src_acc=1.000000, tgt_acc=0.900667, best_tgt=0.910000
Round 32: src_acc=1.000000, tgt_acc=0.892667, best_tgt=0.910000
Round 33: src_acc=1.000000, tgt_acc=0.904000, best_tgt=0.910000
Round 34: src_acc=1.000000, tgt_acc=0.903333, best_tgt=0.910000
Round 35: src_acc=1.000000, tgt_acc=0.887333, best_tgt=0.910000
Round 36: src_acc=1.000000, tgt_acc=0.906000, best_tgt=0.910000
Round 37: src_acc=1.000000, tgt_acc=0.900667, best_tgt=0.910000
Round 38: src_acc=1.000000, tgt_acc=0.893333, best_tgt=0.910000
Round 39: src_acc=1.000000, tgt_acc=0.900667, best_tgt=0.910000
Round 40: src_acc=1.000000, tgt_acc=0.899333, best_tgt=0.910000
Round 41: src_acc=1.000000, tgt_acc=0.913333, best_tgt=0.913333
Round 42: src_acc=1.000000, tgt_acc=0.906667, best_tgt=0.913333
Round 43: src_acc=1.000000, tgt_acc=0.906000, best_tgt=0.913333
Round 44: src_acc=1.000000, tgt_acc=0.893333, best_tgt=0.913333
Round 45: src_acc=1.000000, tgt_acc=0.909333, best_tgt=0.913333
Round 46: src_acc=1.000000, tgt_acc=0.896000, best_tgt=0.913333
Round 47: src_acc=1.000000, tgt_acc=0.906000, best_tgt=0.913333
Round 48: src_acc=1.000000, tgt_acc=0.910667, best_tgt=0.913333
Round 49: src_acc=1.000000, tgt_acc=0.893333, best_tgt=0.913333
