Round 0: src_acc=0.723264, tgt_acc=0.581250, best_tgt=0.581250
Round 1: src_acc=0.729514, tgt_acc=0.554167, best_tgt=0.581250
Round 2: src_acc=0.911632, tgt_acc=0.722917, best_tgt=0.722917
Round 3: src_acc=0.944792, tgt_acc=0.706250, best_tgt=0.722917
Round 4: src_acc=0.917882, tgt_acc=0.639583, best_tgt=0.722917
Round 5: src_acc=0.943403, tgt_acc=0.681250, best_tgt=0.722917
Round 6: src_acc=0.974826, tgt_acc=0.704167, best_tgt=0.722917
Round 7: src_acc=0.970660, tgt_acc=0.668750, best_tgt=0.722917
Round 8: src_acc=0.975868, tgt_acc=0.714583, best_tgt=0.722917
Round 9: src_acc=0.991146, tgt_acc=0.752083, best_tgt=0.752083
Round 10: src_acc=0.999653, tgt_acc=0.770833, best_tgt=0.770833
Round 11: src_acc=1.000000, tgt_acc=0.762500, best_tgt=0.770833
Round 12: src_acc=1.000000, tgt_acc=0.779167, best_tgt=0.779167
Round 13: src_acc=1.000000, tgt_acc=0.754167, best_tgt=0.779167
Round 14: src_acc=1.000000, tgt_acc=0.750000, best_tgt=0.779167
Round 15: src_acc=1.000000, tgt_acc=0.750000, best_tgt=0.779167
Round 16: src_acc=1.000000, tgt_acc=0.766667, best_tgt=0.779167
Round 17: src_acc=1.000000, tgt_acc=0.756250, best_tgt=0.779167
Round 18: src_acc=1.000000, tgt_acc=0.762500, best_tgt=0.779167
Round 19: src_acc=1.000000, tgt_acc=0.741667, best_tgt=0.779167
Round 20: src_acc=1.000000, tgt_acc=0.750000, best_tgt=0.779167
Round 21: src_acc=1.000000, tgt_acc=0.756250, best_tgt=0.779167
Round 22: src_acc=1.000000, tgt_acc=0.758333, best_tgt=0.779167
Round 23: src_acc=1.000000, tgt_acc=0.754167, best_tgt=0.779167
Round 24: src_acc=1.000000, tgt_acc=0.756250, best_tgt=0.779167
Round 25: src_acc=1.000000, tgt_acc=0.772917, best_tgt=0.779167
Round 26: src_acc=1.000000, tgt_acc=0.768750, best_tgt=0.779167
Round 27: src_acc=1.000000, tgt_acc=0.772917, best_tgt=0.779167
Round 28: src_acc=1.000000, tgt_acc=0.762500, best_tgt=0.779167
Round 29: src_acc=1.000000, tgt_acc=0.752083, best_tgt=0.779167
Round 30: src_acc=1.000000, tgt_acc=0.770833, best_tgt=0.779167
Round 31: src_acc=1.000000, tgt_acc=0.758333, best_tgt=0.779167
Round 32: src_acc=1.000000, tgt_acc=0.760417, best_tgt=0.779167
Round 33: src_acc=1.000000, tgt_acc=0.772917, best_tgt=0.779167
Round 34: src_acc=1.000000, tgt_acc=0.758333, best_tgt=0.779167
Round 35: src_acc=1.000000, tgt_acc=0.762500, best_tgt=0.779167
Round 36: src_acc=1.000000, tgt_acc=0.760417, best_tgt=0.779167
Round 37: src_acc=1.000000, tgt_acc=0.762500, best_tgt=0.779167
Round 38: src_acc=1.000000, tgt_acc=0.745833, best_tgt=0.779167
Round 39: src_acc=1.000000, tgt_acc=0.760417, best_tgt=0.779167
Round 40: src_acc=1.000000, tgt_acc=0.762500, best_tgt=0.779167
Round 41: src_acc=1.000000, tgt_acc=0.766667, best_tgt=0.779167
Round 42: src_acc=1.000000, tgt_acc=0.756250, best_tgt=0.779167
Round 43: src_acc=1.000000, tgt_acc=0.777083, best_tgt=0.779167
Round 44: src_acc=1.000000, tgt_acc=0.775000, best_tgt=0.779167
Round 45: src_acc=1.000000, tgt_acc=0.758333, best_tgt=0.779167
Round 46: src_acc=1.000000, tgt_acc=0.754167, best_tgt=0.779167
Round 47: src_acc=1.000000, tgt_acc=0.754167, best_tgt=0.779167
Round 48: src_acc=1.000000, tgt_acc=0.777083, best_tgt=0.779167
Round 49: src_acc=1.000000, tgt_acc=0.770833, best_tgt=0.779167
