Round 0: src_acc=0.626302, tgt_acc=0.437500, best_tgt=0.437500
Round 1: src_acc=0.880469, tgt_acc=0.534375, best_tgt=0.534375
Round 2: src_acc=0.919792, tgt_acc=0.543750, best_tgt=0.543750
Round 3: src_acc=0.925000, tgt_acc=0.565625, best_tgt=0.565625
Round 4: src_acc=0.979948, tgt_acc=0.546875, best_tgt=0.565625
Round 5: src_acc=0.979427, tgt_acc=0.579167, best_tgt=0.579167
Round 6: src_acc=0.969271, tgt_acc=0.515625, best_tgt=0.579167
Round 7: src_acc=0.941406, tgt_acc=0.511458, best_tgt=0.579167
Round 8: src_acc=0.965625, tgt_acc=0.545833, best_tgt=0.579167
Round 9: src_acc=0.984896, tgt_acc=0.573958, best_tgt=0.579167
Round 10: src_acc=0.999740, tgt_acc=0.594792, best_tgt=0.594792
Round 11: src_acc=1.000000, tgt_acc=0.593750, best_tgt=0.594792
Round 12: src_acc=1.000000, tgt_acc=0.608333, best_tgt=0.608333
Round 13: src_acc=1.000000, tgt_acc=0.598958, best_tgt=0.608333
Round 14: src_acc=1.000000, tgt_acc=0.592708, best_tgt=0.608333
Round 15: src_acc=1.000000, tgt_acc=0.597917, best_tgt=0.608333
Round 16: src_acc=1.000000, tgt_acc=0.595833, best_tgt=0.608333
Round 17: src_acc=1.000000, tgt_acc=0.620833, best_tgt=0.620833
Round 18: src_acc=1.000000, tgt_acc=0.608333, best_tgt=0.620833
Round 19: src_acc=1.000000, tgt_acc=0.592708, best_tgt=0.620833
Round 20: src_acc=1.000000, tgt_acc=0.594792, best_tgt=0.620833
Round 21: src_acc=1.000000, tgt_acc=0.592708, best_tgt=0.620833
Round 22: src_acc=1.000000, tgt_acc=0.596875, best_tgt=0.620833
Round 23: src_acc=1.000000, tgt_acc=0.612500, best_tgt=0.620833
Round 24: src_acc=1.000000, tgt_acc=0.600000, best_tgt=0.620833
Round 25: src_acc=1.000000, tgt_acc=0.602083, best_tgt=0.620833
Round 26: src_acc=1.000000, tgt_acc=0.609375, best_tgt=0.620833
Round 27: src_acc=1.000000, tgt_acc=0.605208, best_tgt=0.620833
Round 28: src_acc=1.000000, tgt_acc=0.607292, best_tgt=0.620833
Round 29: src_acc=1.000000, tgt_acc=0.603125, best_tgt=0.620833
Round 30: src_acc=1.000000, tgt_acc=0.610417, best_tgt=0.620833
Round 31: src_acc=1.000000, tgt_acc=0.604167, best_tgt=0.620833
Round 32: src_acc=1.000000, tgt_acc=0.607292, best_tgt=0.620833
Round 33: src_acc=1.000000, tgt_acc=0.613542, best_tgt=0.620833
Round 34: src_acc=1.000000, tgt_acc=0.615625, best_tgt=0.620833
Round 35: src_acc=1.000000, tgt_acc=0.608333, best_tgt=0.620833
Round 36: src_acc=1.000000, tgt_acc=0.613542, best_tgt=0.620833
Round 37: src_acc=1.000000, tgt_acc=0.614583, best_tgt=0.620833
Round 38: src_acc=1.000000, tgt_acc=0.617708, best_tgt=0.620833
Round 39: src_acc=1.000000, tgt_acc=0.612500, best_tgt=0.620833
Round 40: src_acc=1.000000, tgt_acc=0.620833, best_tgt=0.620833
Round 41: src_acc=1.000000, tgt_acc=0.612500, best_tgt=0.620833
Round 42: src_acc=1.000000, tgt_acc=0.605208, best_tgt=0.620833
Round 43: src_acc=1.000000, tgt_acc=0.617708, best_tgt=0.620833
Round 44: src_acc=1.000000, tgt_acc=0.614583, best_tgt=0.620833
Round 45: src_acc=1.000000, tgt_acc=0.608333, best_tgt=0.620833
Round 46: src_acc=1.000000, tgt_acc=0.608333, best_tgt=0.620833
Round 47: src_acc=1.000000, tgt_acc=0.606250, best_tgt=0.620833
Round 48: src_acc=1.000000, tgt_acc=0.613542, best_tgt=0.620833
Round 49: src_acc=1.000000, tgt_acc=0.605208, best_tgt=0.620833
