Round 0: src_acc=0.721615, tgt_acc=0.503125, best_tgt=0.503125
Round 1: src_acc=0.772396, tgt_acc=0.521875, best_tgt=0.521875
Round 2: src_acc=0.930990, tgt_acc=0.540625, best_tgt=0.540625
Round 3: src_acc=0.963542, tgt_acc=0.609375, best_tgt=0.609375
Round 4: src_acc=0.948438, tgt_acc=0.604167, best_tgt=0.609375
Round 5: src_acc=0.990625, tgt_acc=0.616667, best_tgt=0.616667
Round 6: src_acc=0.959115, tgt_acc=0.572917, best_tgt=0.616667
Round 7: src_acc=0.985156, tgt_acc=0.531250, best_tgt=0.616667
Round 8: src_acc=0.995573, tgt_acc=0.582292, best_tgt=0.616667
Round 9: src_acc=0.991927, tgt_acc=0.589583, best_tgt=0.616667
Round 10: src_acc=1.000000, tgt_acc=0.623958, best_tgt=0.623958
Round 11: src_acc=1.000000, tgt_acc=0.623958, best_tgt=0.623958
Round 12: src_acc=1.000000, tgt_acc=0.633333, best_tgt=0.633333
Round 13: src_acc=1.000000, tgt_acc=0.626042, best_tgt=0.633333
Round 14: src_acc=1.000000, tgt_acc=0.633333, best_tgt=0.633333
Round 15: src_acc=1.000000, tgt_acc=0.631250, best_tgt=0.633333
Round 16: src_acc=1.000000, tgt_acc=0.629167, best_tgt=0.633333
Round 17: src_acc=1.000000, tgt_acc=0.623958, best_tgt=0.633333
Round 18: src_acc=1.000000, tgt_acc=0.610417, best_tgt=0.633333
Round 19: src_acc=1.000000, tgt_acc=0.625000, best_tgt=0.633333
Round 20: src_acc=1.000000, tgt_acc=0.621875, best_tgt=0.633333
Round 21: src_acc=1.000000, tgt_acc=0.620833, best_tgt=0.633333
Round 22: src_acc=1.000000, tgt_acc=0.625000, best_tgt=0.633333
Round 23: src_acc=1.000000, tgt_acc=0.628125, best_tgt=0.633333
Round 24: src_acc=1.000000, tgt_acc=0.626042, best_tgt=0.633333
Round 25: src_acc=1.000000, tgt_acc=0.621875, best_tgt=0.633333
Round 26: src_acc=1.000000, tgt_acc=0.630208, best_tgt=0.633333
Round 27: src_acc=1.000000, tgt_acc=0.623958, best_tgt=0.633333
Round 28: src_acc=1.000000, tgt_acc=0.620833, best_tgt=0.633333
Round 29: src_acc=1.000000, tgt_acc=0.621875, best_tgt=0.633333
Round 30: src_acc=1.000000, tgt_acc=0.632292, best_tgt=0.633333
Round 31: src_acc=1.000000, tgt_acc=0.627083, best_tgt=0.633333
Round 32: src_acc=1.000000, tgt_acc=0.637500, best_tgt=0.637500
Round 33: src_acc=1.000000, tgt_acc=0.633333, best_tgt=0.637500
Round 34: src_acc=1.000000, tgt_acc=0.632292, best_tgt=0.637500
Round 35: src_acc=1.000000, tgt_acc=0.631250, best_tgt=0.637500
Round 36: src_acc=1.000000, tgt_acc=0.634375, best_tgt=0.637500
Round 37: src_acc=1.000000, tgt_acc=0.616667, best_tgt=0.637500
Round 38: src_acc=1.000000, tgt_acc=0.622917, best_tgt=0.637500
Round 39: src_acc=1.000000, tgt_acc=0.620833, best_tgt=0.637500
Round 40: src_acc=1.000000, tgt_acc=0.630208, best_tgt=0.637500
Round 41: src_acc=1.000000, tgt_acc=0.633333, best_tgt=0.637500
Round 42: src_acc=1.000000, tgt_acc=0.627083, best_tgt=0.637500
Round 43: src_acc=1.000000, tgt_acc=0.627083, best_tgt=0.637500
Round 44: src_acc=1.000000, tgt_acc=0.628125, best_tgt=0.637500
Round 45: src_acc=1.000000, tgt_acc=0.627083, best_tgt=0.637500
Round 46: src_acc=1.000000, tgt_acc=0.625000, best_tgt=0.637500
Round 47: src_acc=1.000000, tgt_acc=0.631250, best_tgt=0.637500
Round 48: src_acc=1.000000, tgt_acc=0.632292, best_tgt=0.637500
Round 49: src_acc=1.000000, tgt_acc=0.629167, best_tgt=0.637500
