Round 0: src_acc=0.678385, tgt_acc=0.465625, best_tgt=0.465625
Round 1: src_acc=0.844531, tgt_acc=0.491667, best_tgt=0.491667
Round 2: src_acc=0.920573, tgt_acc=0.578125, best_tgt=0.578125
Round 3: src_acc=0.965625, tgt_acc=0.550000, best_tgt=0.578125
Round 4: src_acc=0.966927, tgt_acc=0.569792, best_tgt=0.578125
Round 5: src_acc=0.977604, tgt_acc=0.587500, best_tgt=0.587500
Round 6: src_acc=0.982031, tgt_acc=0.523958, best_tgt=0.587500
Round 7: src_acc=0.988802, tgt_acc=0.525000, best_tgt=0.587500
Round 8: src_acc=0.976042, tgt_acc=0.568750, best_tgt=0.587500
Round 9: src_acc=0.959375, tgt_acc=0.518750, best_tgt=0.587500
Round 10: src_acc=1.000000, tgt_acc=0.589583, best_tgt=0.589583
Round 11: src_acc=1.000000, tgt_acc=0.594792, best_tgt=0.594792
Round 12: src_acc=1.000000, tgt_acc=0.590625, best_tgt=0.594792
Round 13: src_acc=1.000000, tgt_acc=0.584375, best_tgt=0.594792
Round 14: src_acc=1.000000, tgt_acc=0.602083, best_tgt=0.602083
Round 15: src_acc=1.000000, tgt_acc=0.604167, best_tgt=0.604167
Round 16: src_acc=1.000000, tgt_acc=0.592708, best_tgt=0.604167
Round 17: src_acc=1.000000, tgt_acc=0.593750, best_tgt=0.604167
Round 18: src_acc=1.000000, tgt_acc=0.609375, best_tgt=0.609375
Round 19: src_acc=1.000000, tgt_acc=0.601042, best_tgt=0.609375
Round 20: src_acc=1.000000, tgt_acc=0.601042, best_tgt=0.609375
Round 21: src_acc=1.000000, tgt_acc=0.597917, best_tgt=0.609375
Round 22: src_acc=1.000000, tgt_acc=0.607292, best_tgt=0.609375
Round 23: src_acc=1.000000, tgt_acc=0.619792, best_tgt=0.619792
Round 24: src_acc=1.000000, tgt_acc=0.616667, best_tgt=0.619792
Round 25: src_acc=1.000000, tgt_acc=0.610417, best_tgt=0.619792
Round 26: src_acc=1.000000, tgt_acc=0.617708, best_tgt=0.619792
Round 27: src_acc=1.000000, tgt_acc=0.611458, best_tgt=0.619792
Round 28: src_acc=1.000000, tgt_acc=0.609375, best_tgt=0.619792
Round 29: src_acc=1.000000, tgt_acc=0.606250, best_tgt=0.619792
Round 30: src_acc=1.000000, tgt_acc=0.608333, best_tgt=0.619792
Round 31: src_acc=1.000000, tgt_acc=0.602083, best_tgt=0.619792
Round 32: src_acc=1.000000, tgt_acc=0.606250, best_tgt=0.619792
Round 33: src_acc=1.000000, tgt_acc=0.604167, best_tgt=0.619792
Round 34: src_acc=1.000000, tgt_acc=0.597917, best_tgt=0.619792
Round 35: src_acc=1.000000, tgt_acc=0.604167, best_tgt=0.619792
Round 36: src_acc=1.000000, tgt_acc=0.604167, best_tgt=0.619792
Round 37: src_acc=1.000000, tgt_acc=0.604167, best_tgt=0.619792
Round 38: src_acc=1.000000, tgt_acc=0.604167, best_tgt=0.619792
Round 39: src_acc=1.000000, tgt_acc=0.601042, best_tgt=0.619792
Round 40: src_acc=1.000000, tgt_acc=0.607292, best_tgt=0.619792
Round 41: src_acc=1.000000, tgt_acc=0.608333, best_tgt=0.619792
Round 42: src_acc=1.000000, tgt_acc=0.608333, best_tgt=0.619792
Round 43: src_acc=1.000000, tgt_acc=0.608333, best_tgt=0.619792
Round 44: src_acc=1.000000, tgt_acc=0.605208, best_tgt=0.619792
Round 45: src_acc=1.000000, tgt_acc=0.600000, best_tgt=0.619792
Round 46: src_acc=1.000000, tgt_acc=0.602083, best_tgt=0.619792
Round 47: src_acc=1.000000, tgt_acc=0.600000, best_tgt=0.619792
Round 48: src_acc=1.000000, tgt_acc=0.611458, best_tgt=0.619792
Round 49: src_acc=1.000000, tgt_acc=0.605208, best_tgt=0.619792
