Round 0: src_acc=0.723177, tgt_acc=0.455208, best_tgt=0.455208
Round 1: src_acc=0.876823, tgt_acc=0.531250, best_tgt=0.531250
Round 2: src_acc=0.938281, tgt_acc=0.570833, best_tgt=0.570833
Round 3: src_acc=0.922917, tgt_acc=0.605208, best_tgt=0.605208
Round 4: src_acc=0.933854, tgt_acc=0.493750, best_tgt=0.605208
Round 5: src_acc=0.886719, tgt_acc=0.478125, best_tgt=0.605208
Round 6: src_acc=0.979948, tgt_acc=0.540625, best_tgt=0.605208
Round 7: src_acc=0.969271, tgt_acc=0.572917, best_tgt=0.605208
Round 8: src_acc=0.993229, tgt_acc=0.600000, best_tgt=0.605208
Round 9: src_acc=0.975000, tgt_acc=0.510417, best_tgt=0.605208
Round 10: src_acc=0.999479, tgt_acc=0.612500, best_tgt=0.612500
Round 11: src_acc=0.999740, tgt_acc=0.625000, best_tgt=0.625000
Round 12: src_acc=1.000000, tgt_acc=0.621875, best_tgt=0.625000
Round 13: src_acc=1.000000, tgt_acc=0.586458, best_tgt=0.625000
Round 14: src_acc=1.000000, tgt_acc=0.600000, best_tgt=0.625000
Round 15: src_acc=1.000000, tgt_acc=0.612500, best_tgt=0.625000
Round 16: src_acc=1.000000, tgt_acc=0.616667, best_tgt=0.625000
Round 17: src_acc=1.000000, tgt_acc=0.601042, best_tgt=0.625000
Round 18: src_acc=1.000000, tgt_acc=0.606250, best_tgt=0.625000
Round 19: src_acc=1.000000, tgt_acc=0.623958, best_tgt=0.625000
Round 20: src_acc=1.000000, tgt_acc=0.605208, best_tgt=0.625000
Round 21: src_acc=1.000000, tgt_acc=0.615625, best_tgt=0.625000
Round 22: src_acc=1.000000, tgt_acc=0.617708, best_tgt=0.625000
Round 23: src_acc=1.000000, tgt_acc=0.596875, best_tgt=0.625000
Round 24: src_acc=1.000000, tgt_acc=0.609375, best_tgt=0.625000
Round 25: src_acc=1.000000, tgt_acc=0.601042, best_tgt=0.625000
Round 26: src_acc=1.000000, tgt_acc=0.602083, best_tgt=0.625000
Round 27: src_acc=1.000000, tgt_acc=0.594792, best_tgt=0.625000
Round 28: src_acc=1.000000, tgt_acc=0.613542, best_tgt=0.625000
Round 29: src_acc=1.000000, tgt_acc=0.606250, best_tgt=0.625000
Round 30: src_acc=1.000000, tgt_acc=0.610417, best_tgt=0.625000
Round 31: src_acc=1.000000, tgt_acc=0.598958, best_tgt=0.625000
Round 32: src_acc=1.000000, tgt_acc=0.598958, best_tgt=0.625000
Round 33: src_acc=1.000000, tgt_acc=0.615625, best_tgt=0.625000
Round 34: src_acc=1.000000, tgt_acc=0.607292, best_tgt=0.625000
Round 35: src_acc=1.000000, tgt_acc=0.615625, best_tgt=0.625000
Round 36: src_acc=1.000000, tgt_acc=0.595833, best_tgt=0.625000
Round 37: src_acc=1.000000, tgt_acc=0.605208, best_tgt=0.625000
Round 38: src_acc=1.000000, tgt_acc=0.598958, best_tgt=0.625000
Round 39: src_acc=1.000000, tgt_acc=0.605208, best_tgt=0.625000
Round 40: src_acc=1.000000, tgt_acc=0.623958, best_tgt=0.625000
Round 41: src_acc=1.000000, tgt_acc=0.606250, best_tgt=0.625000
Round 42: src_acc=1.000000, tgt_acc=0.591667, best_tgt=0.625000
Round 43: src_acc=1.000000, tgt_acc=0.604167, best_tgt=0.625000
Round 44: src_acc=1.000000, tgt_acc=0.600000, best_tgt=0.625000
Round 45: src_acc=1.000000, tgt_acc=0.609375, best_tgt=0.625000
Round 46: src_acc=1.000000, tgt_acc=0.617708, best_tgt=0.625000
Round 47: src_acc=1.000000, tgt_acc=0.609375, best_tgt=0.625000
Round 48: src_acc=1.000000, tgt_acc=0.613542, best_tgt=0.625000
Round 49: src_acc=1.000000, tgt_acc=0.609375, best_tgt=0.625000
