Round 0: src_acc=0.760417, tgt_acc=0.505208, best_tgt=0.505208
Round 1: src_acc=0.901042, tgt_acc=0.601042, best_tgt=0.601042
Round 2: src_acc=0.923698, tgt_acc=0.573958, best_tgt=0.601042
Round 3: src_acc=0.964063, tgt_acc=0.532292, best_tgt=0.601042
Round 4: src_acc=0.966667, tgt_acc=0.507292, best_tgt=0.601042
Round 5: src_acc=0.977344, tgt_acc=0.550000, best_tgt=0.601042
Round 6: src_acc=0.967969, tgt_acc=0.564583, best_tgt=0.601042
Round 7: src_acc=0.983073, tgt_acc=0.536458, best_tgt=0.601042
Round 8: src_acc=0.990625, tgt_acc=0.578125, best_tgt=0.601042
Round 9: src_acc=0.977865, tgt_acc=0.569792, best_tgt=0.601042
Round 10: src_acc=1.000000, tgt_acc=0.592708, best_tgt=0.601042
Round 11: src_acc=1.000000, tgt_acc=0.605208, best_tgt=0.605208
Round 12: src_acc=1.000000, tgt_acc=0.611458, best_tgt=0.611458
Round 13: src_acc=1.000000, tgt_acc=0.610417, best_tgt=0.611458
Round 14: src_acc=1.000000, tgt_acc=0.588542, best_tgt=0.611458
Round 15: src_acc=1.000000, tgt_acc=0.588542, best_tgt=0.611458
Round 16: src_acc=1.000000, tgt_acc=0.596875, best_tgt=0.611458
Round 17: src_acc=1.000000, tgt_acc=0.606250, best_tgt=0.611458
Round 18: src_acc=1.000000, tgt_acc=0.580208, best_tgt=0.611458
Round 19: src_acc=1.000000, tgt_acc=0.585417, best_tgt=0.611458
Round 20: src_acc=1.000000, tgt_acc=0.598958, best_tgt=0.611458
Round 21: src_acc=1.000000, tgt_acc=0.602083, best_tgt=0.611458
Round 22: src_acc=1.000000, tgt_acc=0.601042, best_tgt=0.611458
Round 23: src_acc=1.000000, tgt_acc=0.590625, best_tgt=0.611458
Round 24: src_acc=1.000000, tgt_acc=0.597917, best_tgt=0.611458
Round 25: src_acc=1.000000, tgt_acc=0.595833, best_tgt=0.611458
Round 26: src_acc=1.000000, tgt_acc=0.605208, best_tgt=0.611458
Round 27: src_acc=1.000000, tgt_acc=0.592708, best_tgt=0.611458
Round 28: src_acc=1.000000, tgt_acc=0.595833, best_tgt=0.611458
Round 29: src_acc=1.000000, tgt_acc=0.592708, best_tgt=0.611458
Round 30: src_acc=1.000000, tgt_acc=0.593750, best_tgt=0.611458
Round 31: src_acc=1.000000, tgt_acc=0.596875, best_tgt=0.611458
Round 32: src_acc=1.000000, tgt_acc=0.594792, best_tgt=0.611458
Round 33: src_acc=1.000000, tgt_acc=0.593750, best_tgt=0.611458
Round 34: src_acc=1.000000, tgt_acc=0.595833, best_tgt=0.611458
Round 35: src_acc=1.000000, tgt_acc=0.597917, best_tgt=0.611458
Round 36: src_acc=1.000000, tgt_acc=0.587500, best_tgt=0.611458
Round 37: src_acc=1.000000, tgt_acc=0.595833, best_tgt=0.611458
Round 38: src_acc=1.000000, tgt_acc=0.596875, best_tgt=0.611458
Round 39: src_acc=1.000000, tgt_acc=0.593750, best_tgt=0.611458
Round 40: src_acc=1.000000, tgt_acc=0.600000, best_tgt=0.611458
Round 41: src_acc=1.000000, tgt_acc=0.601042, best_tgt=0.611458
Round 42: src_acc=1.000000, tgt_acc=0.605208, best_tgt=0.611458
Round 43: src_acc=1.000000, tgt_acc=0.597917, best_tgt=0.611458
Round 44: src_acc=1.000000, tgt_acc=0.595833, best_tgt=0.611458
Round 45: src_acc=1.000000, tgt_acc=0.592708, best_tgt=0.611458
Round 46: src_acc=1.000000, tgt_acc=0.596875, best_tgt=0.611458
Round 47: src_acc=1.000000, tgt_acc=0.604167, best_tgt=0.611458
Round 48: src_acc=1.000000, tgt_acc=0.594792, best_tgt=0.611458
Round 49: src_acc=1.000000, tgt_acc=0.597917, best_tgt=0.611458
