Round 0: src_acc=0.808594, tgt_acc=0.525000, best_tgt=0.525000
Round 1: src_acc=0.860417, tgt_acc=0.525000, best_tgt=0.525000
Round 2: src_acc=0.865104, tgt_acc=0.520833, best_tgt=0.525000
Round 3: src_acc=0.911719, tgt_acc=0.538542, best_tgt=0.538542
Round 4: src_acc=0.975781, tgt_acc=0.559375, best_tgt=0.559375
Round 5: src_acc=0.978125, tgt_acc=0.537500, best_tgt=0.559375
Round 6: src_acc=0.987500, tgt_acc=0.571875, best_tgt=0.571875
Round 7: src_acc=0.980729, tgt_acc=0.595833, best_tgt=0.595833
Round 8: src_acc=0.970052, tgt_acc=0.568750, best_tgt=0.595833
Round 9: src_acc=0.992448, tgt_acc=0.617708, best_tgt=0.617708
Round 10: src_acc=1.000000, tgt_acc=0.629167, best_tgt=0.629167
Round 11: src_acc=1.000000, tgt_acc=0.623958, best_tgt=0.629167
Round 12: src_acc=1.000000, tgt_acc=0.623958, best_tgt=0.629167
Round 13: src_acc=1.000000, tgt_acc=0.627083, best_tgt=0.629167
Round 14: src_acc=1.000000, tgt_acc=0.616667, best_tgt=0.629167
Round 15: src_acc=1.000000, tgt_acc=0.588542, best_tgt=0.629167
Round 16: src_acc=1.000000, tgt_acc=0.620833, best_tgt=0.629167
Round 17: src_acc=1.000000, tgt_acc=0.610417, best_tgt=0.629167
Round 18: src_acc=1.000000, tgt_acc=0.606250, best_tgt=0.629167
Round 19: src_acc=1.000000, tgt_acc=0.617708, best_tgt=0.629167
Round 20: src_acc=1.000000, tgt_acc=0.616667, best_tgt=0.629167
Round 21: src_acc=1.000000, tgt_acc=0.621875, best_tgt=0.629167
Round 22: src_acc=1.000000, tgt_acc=0.623958, best_tgt=0.629167
Round 23: src_acc=1.000000, tgt_acc=0.623958, best_tgt=0.629167
Round 24: src_acc=1.000000, tgt_acc=0.627083, best_tgt=0.629167
Round 25: src_acc=1.000000, tgt_acc=0.623958, best_tgt=0.629167
Round 26: src_acc=1.000000, tgt_acc=0.626042, best_tgt=0.629167
Round 27: src_acc=1.000000, tgt_acc=0.621875, best_tgt=0.629167
Round 28: src_acc=1.000000, tgt_acc=0.629167, best_tgt=0.629167
Round 29: src_acc=1.000000, tgt_acc=0.623958, best_tgt=0.629167
Round 30: src_acc=1.000000, tgt_acc=0.617708, best_tgt=0.629167
Round 31: src_acc=1.000000, tgt_acc=0.630208, best_tgt=0.630208
Round 32: src_acc=1.000000, tgt_acc=0.627083, best_tgt=0.630208
Round 33: src_acc=1.000000, tgt_acc=0.623958, best_tgt=0.630208
Round 34: src_acc=1.000000, tgt_acc=0.628125, best_tgt=0.630208
Round 35: src_acc=1.000000, tgt_acc=0.619792, best_tgt=0.630208
Round 36: src_acc=1.000000, tgt_acc=0.628125, best_tgt=0.630208
Round 37: src_acc=1.000000, tgt_acc=0.623958, best_tgt=0.630208
Round 38: src_acc=1.000000, tgt_acc=0.630208, best_tgt=0.630208
Round 39: src_acc=1.000000, tgt_acc=0.629167, best_tgt=0.630208
Round 40: src_acc=1.000000, tgt_acc=0.627083, best_tgt=0.630208
Round 41: src_acc=1.000000, tgt_acc=0.628125, best_tgt=0.630208
Round 42: src_acc=1.000000, tgt_acc=0.622917, best_tgt=0.630208
Round 43: src_acc=1.000000, tgt_acc=0.628125, best_tgt=0.630208
Round 44: src_acc=1.000000, tgt_acc=0.623958, best_tgt=0.630208
Round 45: src_acc=1.000000, tgt_acc=0.628125, best_tgt=0.630208
Round 46: src_acc=1.000000, tgt_acc=0.618750, best_tgt=0.630208
Round 47: src_acc=1.000000, tgt_acc=0.622917, best_tgt=0.630208
Round 48: src_acc=1.000000, tgt_acc=0.621875, best_tgt=0.630208
Round 49: src_acc=1.000000, tgt_acc=0.622917, best_tgt=0.630208
