Round 0: src_acc=0.789583, tgt_acc=0.525000, best_tgt=0.525000
Round 1: src_acc=0.850260, tgt_acc=0.529167, best_tgt=0.529167
Round 2: src_acc=0.905729, tgt_acc=0.544792, best_tgt=0.544792
Round 3: src_acc=0.961198, tgt_acc=0.509375, best_tgt=0.544792
Round 4: src_acc=0.923177, tgt_acc=0.547917, best_tgt=0.547917
Round 5: src_acc=0.982031, tgt_acc=0.534375, best_tgt=0.547917
Round 6: src_acc=0.963021, tgt_acc=0.489583, best_tgt=0.547917
Round 7: src_acc=0.965104, tgt_acc=0.531250, best_tgt=0.547917
Round 8: src_acc=0.975521, tgt_acc=0.582292, best_tgt=0.582292
Round 9: src_acc=0.980729, tgt_acc=0.536458, best_tgt=0.582292
Round 10: src_acc=0.999740, tgt_acc=0.561458, best_tgt=0.582292
Round 11: src_acc=1.000000, tgt_acc=0.602083, best_tgt=0.602083
Round 12: src_acc=1.000000, tgt_acc=0.592708, best_tgt=0.602083
Round 13: src_acc=1.000000, tgt_acc=0.580208, best_tgt=0.602083
Round 14: src_acc=1.000000, tgt_acc=0.601042, best_tgt=0.602083
Round 15: src_acc=1.000000, tgt_acc=0.580208, best_tgt=0.602083
Round 16: src_acc=1.000000, tgt_acc=0.586458, best_tgt=0.602083
Round 17: src_acc=1.000000, tgt_acc=0.608333, best_tgt=0.608333
Round 18: src_acc=1.000000, tgt_acc=0.594792, best_tgt=0.608333
Round 19: src_acc=1.000000, tgt_acc=0.577083, best_tgt=0.608333
Round 20: src_acc=1.000000, tgt_acc=0.586458, best_tgt=0.608333
Round 21: src_acc=1.000000, tgt_acc=0.586458, best_tgt=0.608333
Round 22: src_acc=1.000000, tgt_acc=0.589583, best_tgt=0.608333
Round 23: src_acc=1.000000, tgt_acc=0.588542, best_tgt=0.608333
Round 24: src_acc=1.000000, tgt_acc=0.597917, best_tgt=0.608333
Round 25: src_acc=1.000000, tgt_acc=0.582292, best_tgt=0.608333
Round 26: src_acc=1.000000, tgt_acc=0.576042, best_tgt=0.608333
Round 27: src_acc=1.000000, tgt_acc=0.587500, best_tgt=0.608333
Round 28: src_acc=1.000000, tgt_acc=0.580208, best_tgt=0.608333
Round 29: src_acc=1.000000, tgt_acc=0.594792, best_tgt=0.608333
Round 30: src_acc=1.000000, tgt_acc=0.583333, best_tgt=0.608333
Round 31: src_acc=1.000000, tgt_acc=0.576042, best_tgt=0.608333
Round 32: src_acc=1.000000, tgt_acc=0.593750, best_tgt=0.608333
Round 33: src_acc=1.000000, tgt_acc=0.586458, best_tgt=0.608333
Round 34: src_acc=1.000000, tgt_acc=0.594792, best_tgt=0.608333
Round 35: src_acc=1.000000, tgt_acc=0.589583, best_tgt=0.608333
Round 36: src_acc=1.000000, tgt_acc=0.589583, best_tgt=0.608333
Round 37: src_acc=1.000000, tgt_acc=0.588542, best_tgt=0.608333
Round 38: src_acc=1.000000, tgt_acc=0.584375, best_tgt=0.608333
Round 39: src_acc=1.000000, tgt_acc=0.597917, best_tgt=0.608333
Round 40: src_acc=1.000000, tgt_acc=0.605208, best_tgt=0.608333
Round 41: src_acc=1.000000, tgt_acc=0.595833, best_tgt=0.608333
Round 42: src_acc=1.000000, tgt_acc=0.597917, best_tgt=0.608333
Round 43: src_acc=1.000000, tgt_acc=0.590625, best_tgt=0.608333
Round 44: src_acc=1.000000, tgt_acc=0.585417, best_tgt=0.608333
Round 45: src_acc=1.000000, tgt_acc=0.585417, best_tgt=0.608333
Round 46: src_acc=1.000000, tgt_acc=0.582292, best_tgt=0.608333
Round 47: src_acc=1.000000, tgt_acc=0.589583, best_tgt=0.608333
Round 48: src_acc=1.000000, tgt_acc=0.587500, best_tgt=0.608333
Round 49: src_acc=1.000000, tgt_acc=0.597917, best_tgt=0.608333
