Round 0: src_acc=0.964714, tgt_acc=0.895896, best_tgt=0.895896
Round 1: src_acc=0.957944, tgt_acc=0.905906, best_tgt=0.905906
Round 2: src_acc=0.975485, tgt_acc=0.929596, best_tgt=0.929596
Round 3: src_acc=0.953329, tgt_acc=0.914915, best_tgt=0.929596
Round 4: src_acc=0.987281, tgt_acc=0.939606, best_tgt=0.939606
Round 5: src_acc=0.990153, tgt_acc=0.957958, best_tgt=0.957958
Round 6: src_acc=0.994051, tgt_acc=0.962629, best_tgt=0.962629
Round 7: src_acc=0.995692, tgt_acc=0.977644, best_tgt=0.977644
Round 8: src_acc=0.996205, tgt_acc=0.973640, best_tgt=0.977644
Round 9: src_acc=0.984511, tgt_acc=0.949616, best_tgt=0.977644
Round 10: src_acc=0.998872, tgt_acc=0.983650, best_tgt=0.983650
Round 11: src_acc=0.998872, tgt_acc=0.979980, best_tgt=0.983650
Round 12: src_acc=0.999282, tgt_acc=0.987321, best_tgt=0.987321
Round 13: src_acc=0.999385, tgt_acc=0.984318, best_tgt=0.987321
Round 14: src_acc=0.999897, tgt_acc=0.985986, best_tgt=0.987321
Round 15: src_acc=0.999897, tgt_acc=0.983317, best_tgt=0.987321
Round 16: src_acc=1.000000, tgt_acc=0.981982, best_tgt=0.987321
Round 17: src_acc=1.000000, tgt_acc=0.985319, best_tgt=0.987321
Round 18: src_acc=1.000000, tgt_acc=0.987321, best_tgt=0.987321
Round 19: src_acc=1.000000, tgt_acc=0.978645, best_tgt=0.987321
Round 20: src_acc=1.000000, tgt_acc=0.979646, best_tgt=0.987321
Round 21: src_acc=1.000000, tgt_acc=0.982983, best_tgt=0.987321
Round 22: src_acc=1.000000, tgt_acc=0.981648, best_tgt=0.987321
Round 23: src_acc=1.000000, tgt_acc=0.984651, best_tgt=0.987321
Round 24: src_acc=1.000000, tgt_acc=0.986653, best_tgt=0.987321
Round 25: src_acc=1.000000, tgt_acc=0.987654, best_tgt=0.987654
Round 26: src_acc=1.000000, tgt_acc=0.986987, best_tgt=0.987654
Round 27: src_acc=1.000000, tgt_acc=0.987654, best_tgt=0.987654
Round 28: src_acc=1.000000, tgt_acc=0.985652, best_tgt=0.987654
Round 29: src_acc=1.000000, tgt_acc=0.983317, best_tgt=0.987654
Round 30: src_acc=1.000000, tgt_acc=0.987321, best_tgt=0.987654
Round 31: src_acc=1.000000, tgt_acc=0.985986, best_tgt=0.987654
Round 32: src_acc=1.000000, tgt_acc=0.984318, best_tgt=0.987654
Round 33: src_acc=1.000000, tgt_acc=0.987654, best_tgt=0.987654
Round 34: src_acc=1.000000, tgt_acc=0.986987, best_tgt=0.987654
Round 35: src_acc=1.000000, tgt_acc=0.983317, best_tgt=0.987654
Round 36: src_acc=1.000000, tgt_acc=0.985652, best_tgt=0.987654
Round 37: src_acc=1.000000, tgt_acc=0.987988, best_tgt=0.987988
Round 38: src_acc=1.000000, tgt_acc=0.984318, best_tgt=0.987988
Round 39: src_acc=1.000000, tgt_acc=0.986653, best_tgt=0.987988
Round 40: src_acc=1.000000, tgt_acc=0.986320, best_tgt=0.987988
Round 41: src_acc=1.000000, tgt_acc=0.986320, best_tgt=0.987988
Round 42: src_acc=1.000000, tgt_acc=0.985986, best_tgt=0.987988
Round 43: src_acc=1.000000, tgt_acc=0.985652, best_tgt=0.987988
Round 44: src_acc=1.000000, tgt_acc=0.985652, best_tgt=0.987988
Round 45: src_acc=1.000000, tgt_acc=0.985652, best_tgt=0.987988
Round 46: src_acc=1.000000, tgt_acc=0.989323, best_tgt=0.989323
Round 47: src_acc=1.000000, tgt_acc=0.986987, best_tgt=0.989323
Round 48: src_acc=1.000000, tgt_acc=0.983984, best_tgt=0.989323
Round 49: src_acc=1.000000, tgt_acc=0.985652, best_tgt=0.989323
