Round 0: src_acc=0.877407, tgt_acc=0.797037, best_tgt=0.797037
Round 1: src_acc=0.966667, tgt_acc=0.931852, best_tgt=0.931852
Round 2: src_acc=0.958704, tgt_acc=0.931111, best_tgt=0.931852
Round 3: src_acc=0.895370, tgt_acc=0.822963, best_tgt=0.931852
Round 4: src_acc=0.994815, tgt_acc=0.982963, best_tgt=0.982963
Round 5: src_acc=0.996667, tgt_acc=0.983704, best_tgt=0.983704
Round 6: src_acc=0.997778, tgt_acc=0.981481, best_tgt=0.983704
Round 7: src_acc=0.993148, tgt_acc=0.973333, best_tgt=0.983704
Round 8: src_acc=0.966111, tgt_acc=0.951111, best_tgt=0.983704
Round 9: src_acc=0.992222, tgt_acc=0.965185, best_tgt=0.983704
Round 10: src_acc=0.999444, tgt_acc=0.990370, best_tgt=0.990370
Round 11: src_acc=0.999630, tgt_acc=0.990370, best_tgt=0.990370
Round 12: src_acc=0.999815, tgt_acc=0.989630, best_tgt=0.990370
Round 13: src_acc=0.999815, tgt_acc=0.989630, best_tgt=0.990370
Round 14: src_acc=0.999815, tgt_acc=0.991111, best_tgt=0.991111
Round 15: src_acc=1.000000, tgt_acc=0.994074, best_tgt=0.994074
Round 16: src_acc=1.000000, tgt_acc=0.991852, best_tgt=0.994074
Round 17: src_acc=1.000000, tgt_acc=0.991852, best_tgt=0.994074
Round 18: src_acc=1.000000, tgt_acc=0.993333, best_tgt=0.994074
Round 19: src_acc=1.000000, tgt_acc=0.993333, best_tgt=0.994074
Round 20: src_acc=1.000000, tgt_acc=0.993333, best_tgt=0.994074
Round 21: src_acc=1.000000, tgt_acc=0.993333, best_tgt=0.994074
Round 22: src_acc=1.000000, tgt_acc=0.992593, best_tgt=0.994074
Round 23: src_acc=1.000000, tgt_acc=0.992593, best_tgt=0.994074
Round 24: src_acc=1.000000, tgt_acc=0.992593, best_tgt=0.994074
Round 25: src_acc=1.000000, tgt_acc=0.993333, best_tgt=0.994074
Round 26: src_acc=1.000000, tgt_acc=0.993333, best_tgt=0.994074
Round 27: src_acc=1.000000, tgt_acc=0.991852, best_tgt=0.994074
Round 28: src_acc=1.000000, tgt_acc=0.991111, best_tgt=0.994074
Round 29: src_acc=1.000000, tgt_acc=0.991852, best_tgt=0.994074
Round 30: src_acc=1.000000, tgt_acc=0.991852, best_tgt=0.994074
Round 31: src_acc=1.000000, tgt_acc=0.991111, best_tgt=0.994074
Round 32: src_acc=1.000000, tgt_acc=0.991111, best_tgt=0.994074
Round 33: src_acc=1.000000, tgt_acc=0.994074, best_tgt=0.994074
Round 34: src_acc=1.000000, tgt_acc=0.992593, best_tgt=0.994074
Round 35: src_acc=1.000000, tgt_acc=0.992593, best_tgt=0.994074
Round 36: src_acc=1.000000, tgt_acc=0.991111, best_tgt=0.994074
Round 37: src_acc=1.000000, tgt_acc=0.991852, best_tgt=0.994074
Round 38: src_acc=1.000000, tgt_acc=0.993333, best_tgt=0.994074
Round 39: src_acc=1.000000, tgt_acc=0.992593, best_tgt=0.994074
Round 40: src_acc=1.000000, tgt_acc=0.989630, best_tgt=0.994074
Round 41: src_acc=1.000000, tgt_acc=0.992593, best_tgt=0.994074
Round 42: src_acc=1.000000, tgt_acc=0.993333, best_tgt=0.994074
Round 43: src_acc=1.000000, tgt_acc=0.991111, best_tgt=0.994074
Round 44: src_acc=1.000000, tgt_acc=0.993333, best_tgt=0.994074
Round 45: src_acc=1.000000, tgt_acc=0.991852, best_tgt=0.994074
Round 46: src_acc=1.000000, tgt_acc=0.993333, best_tgt=0.994074
Round 47: src_acc=1.000000, tgt_acc=0.993333, best_tgt=0.994074
Round 48: src_acc=1.000000, tgt_acc=0.992593, best_tgt=0.994074
Round 49: src_acc=1.000000, tgt_acc=0.992593, best_tgt=0.994074
