Round 0: src_acc=0.934074, tgt_acc=0.848889, best_tgt=0.848889
Round 1: src_acc=0.968889, tgt_acc=0.920741, best_tgt=0.920741
Round 2: src_acc=0.975370, tgt_acc=0.921481, best_tgt=0.921481
Round 3: src_acc=0.979259, tgt_acc=0.922963, best_tgt=0.922963
Round 4: src_acc=0.972593, tgt_acc=0.945185, best_tgt=0.945185
Round 5: src_acc=0.993148, tgt_acc=0.962222, best_tgt=0.962222
Round 6: src_acc=0.993148, tgt_acc=0.948889, best_tgt=0.962222
Round 7: src_acc=0.984259, tgt_acc=0.943704, best_tgt=0.962222
Round 8: src_acc=0.995926, tgt_acc=0.963704, best_tgt=0.963704
Round 9: src_acc=0.995000, tgt_acc=0.964444, best_tgt=0.964444
Round 10: src_acc=0.999630, tgt_acc=0.982222, best_tgt=0.982222
Round 11: src_acc=1.000000, tgt_acc=0.978519, best_tgt=0.982222
Round 12: src_acc=0.999815, tgt_acc=0.988148, best_tgt=0.988148
Round 13: src_acc=1.000000, tgt_acc=0.978519, best_tgt=0.988148
Round 14: src_acc=0.999815, tgt_acc=0.983704, best_tgt=0.988148
Round 15: src_acc=1.000000, tgt_acc=0.988889, best_tgt=0.988889
Round 16: src_acc=1.000000, tgt_acc=0.988889, best_tgt=0.988889
Round 17: src_acc=1.000000, tgt_acc=0.988148, best_tgt=0.988889
Round 18: src_acc=1.000000, tgt_acc=0.991111, best_tgt=0.991111
Round 19: src_acc=1.000000, tgt_acc=0.990370, best_tgt=0.991111
Round 20: src_acc=1.000000, tgt_acc=0.988148, best_tgt=0.991111
Round 21: src_acc=1.000000, tgt_acc=0.988889, best_tgt=0.991111
Round 22: src_acc=1.000000, tgt_acc=0.989630, best_tgt=0.991111
Round 23: src_acc=1.000000, tgt_acc=0.989630, best_tgt=0.991111
Round 24: src_acc=1.000000, tgt_acc=0.990370, best_tgt=0.991111
Round 25: src_acc=1.000000, tgt_acc=0.989630, best_tgt=0.991111
Round 26: src_acc=1.000000, tgt_acc=0.988148, best_tgt=0.991111
Round 27: src_acc=1.000000, tgt_acc=0.989630, best_tgt=0.991111
Round 28: src_acc=1.000000, tgt_acc=0.988148, best_tgt=0.991111
Round 29: src_acc=1.000000, tgt_acc=0.988889, best_tgt=0.991111
Round 30: src_acc=1.000000, tgt_acc=0.990370, best_tgt=0.991111
Round 31: src_acc=1.000000, tgt_acc=0.990370, best_tgt=0.991111
Round 32: src_acc=1.000000, tgt_acc=0.991111, best_tgt=0.991111
Round 33: src_acc=1.000000, tgt_acc=0.990370, best_tgt=0.991111
Round 34: src_acc=1.000000, tgt_acc=0.990370, best_tgt=0.991111
Round 35: src_acc=1.000000, tgt_acc=0.990370, best_tgt=0.991111
Round 36: src_acc=1.000000, tgt_acc=0.987407, best_tgt=0.991111
Round 37: src_acc=1.000000, tgt_acc=0.989630, best_tgt=0.991111
Round 38: src_acc=1.000000, tgt_acc=0.990370, best_tgt=0.991111
Round 39: src_acc=1.000000, tgt_acc=0.989630, best_tgt=0.991111
Round 40: src_acc=1.000000, tgt_acc=0.990370, best_tgt=0.991111
Round 41: src_acc=1.000000, tgt_acc=0.991111, best_tgt=0.991111
Round 42: src_acc=1.000000, tgt_acc=0.986667, best_tgt=0.991111
Round 43: src_acc=1.000000, tgt_acc=0.991111, best_tgt=0.991111
Round 44: src_acc=1.000000, tgt_acc=0.990370, best_tgt=0.991111
Round 45: src_acc=1.000000, tgt_acc=0.988889, best_tgt=0.991111
Round 46: src_acc=1.000000, tgt_acc=0.990370, best_tgt=0.991111
Round 47: src_acc=1.000000, tgt_acc=0.989630, best_tgt=0.991111
Round 48: src_acc=1.000000, tgt_acc=0.991111, best_tgt=0.991111
Round 49: src_acc=1.000000, tgt_acc=0.992593, best_tgt=0.992593
