Round 0: src_acc=0.833714, tgt_acc=0.647333, best_tgt=0.647333
Round 1: src_acc=0.884571, tgt_acc=0.710000, best_tgt=0.710000
Round 2: src_acc=0.938476, tgt_acc=0.768000, best_tgt=0.768000
Round 3: src_acc=0.977524, tgt_acc=0.910667, best_tgt=0.910667
Round 4: src_acc=0.962667, tgt_acc=0.786000, best_tgt=0.910667
Round 5: src_acc=0.961524, tgt_acc=0.903333, best_tgt=0.910667
Round 6: src_acc=0.977714, tgt_acc=0.846000, best_tgt=0.910667
Round 7: src_acc=0.972190, tgt_acc=0.841333, best_tgt=0.910667
Round 8: src_acc=0.955810, tgt_acc=0.823333, best_tgt=0.910667
Round 9: src_acc=0.980000, tgt_acc=0.902667, best_tgt=0.910667
Round 10: src_acc=0.999810, tgt_acc=0.926667, best_tgt=0.926667
Round 11: src_acc=0.999429, tgt_acc=0.922000, best_tgt=0.926667
Round 12: src_acc=0.999619, tgt_acc=0.909333, best_tgt=0.926667
Round 13: src_acc=0.999619, tgt_acc=0.917333, best_tgt=0.926667
Round 14: src_acc=1.000000, tgt_acc=0.950667, best_tgt=0.950667
Round 15: src_acc=1.000000, tgt_acc=0.937333, best_tgt=0.950667
Round 16: src_acc=0.999810, tgt_acc=0.946000, best_tgt=0.950667
Round 17: src_acc=1.000000, tgt_acc=0.941333, best_tgt=0.950667
Round 18: src_acc=1.000000, tgt_acc=0.948000, best_tgt=0.950667
Round 19: src_acc=1.000000, tgt_acc=0.946000, best_tgt=0.950667
Round 20: src_acc=0.999810, tgt_acc=0.954667, best_tgt=0.954667
Round 21: src_acc=1.000000, tgt_acc=0.957333, best_tgt=0.957333
Round 22: src_acc=1.000000, tgt_acc=0.964667, best_tgt=0.964667
Round 23: src_acc=0.999810, tgt_acc=0.945333, best_tgt=0.964667
Round 24: src_acc=1.000000, tgt_acc=0.959333, best_tgt=0.964667
Round 25: src_acc=1.000000, tgt_acc=0.960667, best_tgt=0.964667
Round 26: src_acc=1.000000, tgt_acc=0.954667, best_tgt=0.964667
Round 27: src_acc=0.999810, tgt_acc=0.957333, best_tgt=0.964667
Round 28: src_acc=1.000000, tgt_acc=0.964000, best_tgt=0.964667
Round 29: src_acc=1.000000, tgt_acc=0.955333, best_tgt=0.964667
Round 30: src_acc=1.000000, tgt_acc=0.964667, best_tgt=0.964667
Round 31: src_acc=1.000000, tgt_acc=0.946667, best_tgt=0.964667
Round 32: src_acc=1.000000, tgt_acc=0.944000, best_tgt=0.964667
Round 33: src_acc=1.000000, tgt_acc=0.942000, best_tgt=0.964667
Round 34: src_acc=1.000000, tgt_acc=0.972000, best_tgt=0.972000
Round 35: src_acc=1.000000, tgt_acc=0.947333, best_tgt=0.972000
Round 36: src_acc=1.000000, tgt_acc=0.952667, best_tgt=0.972000
Round 37: src_acc=1.000000, tgt_acc=0.967333, best_tgt=0.972000
Round 38: src_acc=1.000000, tgt_acc=0.950000, best_tgt=0.972000
Round 39: src_acc=1.000000, tgt_acc=0.961333, best_tgt=0.972000
Round 40: src_acc=1.000000, tgt_acc=0.967333, best_tgt=0.972000
Round 41: src_acc=1.000000, tgt_acc=0.968000, best_tgt=0.972000
Round 42: src_acc=1.000000, tgt_acc=0.966000, best_tgt=0.972000
Round 43: src_acc=0.999810, tgt_acc=0.946000, best_tgt=0.972000
Round 44: src_acc=1.000000, tgt_acc=0.972000, best_tgt=0.972000
Round 45: src_acc=1.000000, tgt_acc=0.958667, best_tgt=0.972000
Round 46: src_acc=1.000000, tgt_acc=0.946000, best_tgt=0.972000
Round 47: src_acc=1.000000, tgt_acc=0.958667, best_tgt=0.972000
Round 48: src_acc=1.000000, tgt_acc=0.965333, best_tgt=0.972000
Round 49: src_acc=1.000000, tgt_acc=0.963333, best_tgt=0.972000
