Round 0: src_acc=0.726910, tgt_acc=0.702083, best_tgt=0.702083
Round 1: src_acc=0.847049, tgt_acc=0.737500, best_tgt=0.737500
Round 2: src_acc=0.871007, tgt_acc=0.681250, best_tgt=0.737500
Round 3: src_acc=0.907986, tgt_acc=0.739583, best_tgt=0.739583
Round 4: src_acc=0.952431, tgt_acc=0.725000, best_tgt=0.739583
Round 5: src_acc=0.951389, tgt_acc=0.689583, best_tgt=0.739583
Round 6: src_acc=0.973264, tgt_acc=0.729167, best_tgt=0.739583
Round 7: src_acc=0.961458, tgt_acc=0.679167, best_tgt=0.739583
Round 8: src_acc=0.989757, tgt_acc=0.760417, best_tgt=0.760417
Round 9: src_acc=0.982812, tgt_acc=0.752083, best_tgt=0.760417
Round 10: src_acc=0.999653, tgt_acc=0.735417, best_tgt=0.760417
Round 11: src_acc=1.000000, tgt_acc=0.745833, best_tgt=0.760417
Round 12: src_acc=1.000000, tgt_acc=0.743750, best_tgt=0.760417
Round 13: src_acc=1.000000, tgt_acc=0.758333, best_tgt=0.760417
Round 14: src_acc=1.000000, tgt_acc=0.743750, best_tgt=0.760417
Round 15: src_acc=1.000000, tgt_acc=0.752083, best_tgt=0.760417
Round 16: src_acc=1.000000, tgt_acc=0.747917, best_tgt=0.760417
Round 17: src_acc=1.000000, tgt_acc=0.754167, best_tgt=0.760417
Round 18: src_acc=1.000000, tgt_acc=0.741667, best_tgt=0.760417
Round 19: src_acc=1.000000, tgt_acc=0.752083, best_tgt=0.760417
Round 20: src_acc=1.000000, tgt_acc=0.741667, best_tgt=0.760417
Round 21: src_acc=1.000000, tgt_acc=0.754167, best_tgt=0.760417
Round 22: src_acc=1.000000, tgt_acc=0.760417, best_tgt=0.760417
Round 23: src_acc=1.000000, tgt_acc=0.756250, best_tgt=0.760417
Round 24: src_acc=1.000000, tgt_acc=0.747917, best_tgt=0.760417
Round 25: src_acc=1.000000, tgt_acc=0.754167, best_tgt=0.760417
Round 26: src_acc=1.000000, tgt_acc=0.752083, best_tgt=0.760417
Round 27: src_acc=1.000000, tgt_acc=0.760417, best_tgt=0.760417
Round 28: src_acc=1.000000, tgt_acc=0.743750, best_tgt=0.760417
Round 29: src_acc=1.000000, tgt_acc=0.747917, best_tgt=0.760417
Round 30: src_acc=1.000000, tgt_acc=0.762500, best_tgt=0.762500
Round 31: src_acc=1.000000, tgt_acc=0.754167, best_tgt=0.762500
Round 32: src_acc=1.000000, tgt_acc=0.758333, best_tgt=0.762500
Round 33: src_acc=1.000000, tgt_acc=0.756250, best_tgt=0.762500
Round 34: src_acc=1.000000, tgt_acc=0.756250, best_tgt=0.762500
Round 35: src_acc=1.000000, tgt_acc=0.756250, best_tgt=0.762500
Round 36: src_acc=1.000000, tgt_acc=0.745833, best_tgt=0.762500
Round 37: src_acc=1.000000, tgt_acc=0.747917, best_tgt=0.762500
Round 38: src_acc=1.000000, tgt_acc=0.762500, best_tgt=0.762500
Round 39: src_acc=1.000000, tgt_acc=0.754167, best_tgt=0.762500
Round 40: src_acc=1.000000, tgt_acc=0.754167, best_tgt=0.762500
Round 41: src_acc=1.000000, tgt_acc=0.754167, best_tgt=0.762500
Round 42: src_acc=1.000000, tgt_acc=0.745833, best_tgt=0.762500
Round 43: src_acc=1.000000, tgt_acc=0.752083, best_tgt=0.762500
Round 44: src_acc=1.000000, tgt_acc=0.752083, best_tgt=0.762500
Round 45: src_acc=1.000000, tgt_acc=0.754167, best_tgt=0.762500
Round 46: src_acc=1.000000, tgt_acc=0.756250, best_tgt=0.762500
Round 47: src_acc=1.000000, tgt_acc=0.750000, best_tgt=0.762500
Round 48: src_acc=1.000000, tgt_acc=0.756250, best_tgt=0.762500
Round 49: src_acc=1.000000, tgt_acc=0.758333, best_tgt=0.762500
