Round 0: src_acc=0.752778, tgt_acc=0.377708, best_tgt=0.377708
Round 1: src_acc=0.909722, tgt_acc=0.453750, best_tgt=0.453750
Round 2: src_acc=0.973611, tgt_acc=0.443958, best_tgt=0.453750
Round 3: src_acc=0.981944, tgt_acc=0.492708, best_tgt=0.492708
Round 4: src_acc=0.986111, tgt_acc=0.452500, best_tgt=0.492708
Round 5: src_acc=0.996528, tgt_acc=0.411458, best_tgt=0.492708
Round 6: src_acc=0.986111, tgt_acc=0.388958, best_tgt=0.492708
Round 7: src_acc=0.993750, tgt_acc=0.425208, best_tgt=0.492708
Round 8: src_acc=0.995139, tgt_acc=0.485417, best_tgt=0.492708
Round 9: src_acc=0.997917, tgt_acc=0.430000, best_tgt=0.492708
Round 10: src_acc=1.000000, tgt_acc=0.502500, best_tgt=0.502500
Round 11: src_acc=1.000000, tgt_acc=0.500000, best_tgt=0.502500
Round 12: src_acc=1.000000, tgt_acc=0.503125, best_tgt=0.503125
Round 13: src_acc=1.000000, tgt_acc=0.488333, best_tgt=0.503125
Round 14: src_acc=1.000000, tgt_acc=0.486667, best_tgt=0.503125
Round 15: src_acc=1.000000, tgt_acc=0.499583, best_tgt=0.503125
Round 16: src_acc=1.000000, tgt_acc=0.513125, best_tgt=0.513125
Round 17: src_acc=1.000000, tgt_acc=0.501250, best_tgt=0.513125
Round 18: src_acc=1.000000, tgt_acc=0.507292, best_tgt=0.513125
Round 19: src_acc=1.000000, tgt_acc=0.491875, best_tgt=0.513125
Round 20: src_acc=1.000000, tgt_acc=0.469375, best_tgt=0.513125
Round 21: src_acc=1.000000, tgt_acc=0.499583, best_tgt=0.513125
Round 22: src_acc=1.000000, tgt_acc=0.497500, best_tgt=0.513125
Round 23: src_acc=1.000000, tgt_acc=0.497292, best_tgt=0.513125
Round 24: src_acc=1.000000, tgt_acc=0.487917, best_tgt=0.513125
Round 25: src_acc=1.000000, tgt_acc=0.490833, best_tgt=0.513125
Round 26: src_acc=1.000000, tgt_acc=0.478958, best_tgt=0.513125
Round 27: src_acc=1.000000, tgt_acc=0.500000, best_tgt=0.513125
Round 28: src_acc=1.000000, tgt_acc=0.489583, best_tgt=0.513125
Round 29: src_acc=1.000000, tgt_acc=0.496875, best_tgt=0.513125
Round 30: src_acc=1.000000, tgt_acc=0.502500, best_tgt=0.513125
Round 31: src_acc=1.000000, tgt_acc=0.501875, best_tgt=0.513125
Round 32: src_acc=1.000000, tgt_acc=0.493542, best_tgt=0.513125
Round 33: src_acc=1.000000, tgt_acc=0.499792, best_tgt=0.513125
Round 34: src_acc=1.000000, tgt_acc=0.492083, best_tgt=0.513125
Round 35: src_acc=1.000000, tgt_acc=0.496250, best_tgt=0.513125
Round 36: src_acc=1.000000, tgt_acc=0.509375, best_tgt=0.513125
Round 37: src_acc=1.000000, tgt_acc=0.475833, best_tgt=0.513125
Round 38: src_acc=1.000000, tgt_acc=0.497708, best_tgt=0.513125
Round 39: src_acc=1.000000, tgt_acc=0.517083, best_tgt=0.517083
Round 40: src_acc=1.000000, tgt_acc=0.499375, best_tgt=0.517083
Round 41: src_acc=1.000000, tgt_acc=0.491458, best_tgt=0.517083
Round 42: src_acc=1.000000, tgt_acc=0.491875, best_tgt=0.517083
Round 43: src_acc=1.000000, tgt_acc=0.490625, best_tgt=0.517083
Round 44: src_acc=1.000000, tgt_acc=0.499792, best_tgt=0.517083
Round 45: src_acc=1.000000, tgt_acc=0.493750, best_tgt=0.517083
Round 46: src_acc=1.000000, tgt_acc=0.489792, best_tgt=0.517083
Round 47: src_acc=1.000000, tgt_acc=0.505833, best_tgt=0.517083
Round 48: src_acc=1.000000, tgt_acc=0.497917, best_tgt=0.517083
Round 49: src_acc=1.000000, tgt_acc=0.511667, best_tgt=0.517083
