Round 0: src_acc=0.771615, tgt_acc=0.486458, best_tgt=0.486458
Round 1: src_acc=0.845833, tgt_acc=0.533333, best_tgt=0.533333
Round 2: src_acc=0.896094, tgt_acc=0.537500, best_tgt=0.537500
Round 3: src_acc=0.942187, tgt_acc=0.614583, best_tgt=0.614583
Round 4: src_acc=0.880729, tgt_acc=0.477083, best_tgt=0.614583
Round 5: src_acc=0.987500, tgt_acc=0.556250, best_tgt=0.614583
Round 6: src_acc=0.963802, tgt_acc=0.586458, best_tgt=0.614583
Round 7: src_acc=0.983594, tgt_acc=0.536458, best_tgt=0.614583
Round 8: src_acc=0.987500, tgt_acc=0.600000, best_tgt=0.614583
Round 9: src_acc=0.966406, tgt_acc=0.562500, best_tgt=0.614583
Round 10: src_acc=1.000000, tgt_acc=0.618750, best_tgt=0.618750
Round 11: src_acc=1.000000, tgt_acc=0.626042, best_tgt=0.626042
Round 12: src_acc=1.000000, tgt_acc=0.623958, best_tgt=0.626042
Round 13: src_acc=1.000000, tgt_acc=0.618750, best_tgt=0.626042
Round 14: src_acc=1.000000, tgt_acc=0.633333, best_tgt=0.633333
Round 15: src_acc=1.000000, tgt_acc=0.621875, best_tgt=0.633333
Round 16: src_acc=1.000000, tgt_acc=0.625000, best_tgt=0.633333
Round 17: src_acc=1.000000, tgt_acc=0.630208, best_tgt=0.633333
Round 18: src_acc=1.000000, tgt_acc=0.617708, best_tgt=0.633333
Round 19: src_acc=1.000000, tgt_acc=0.608333, best_tgt=0.633333
Round 20: src_acc=1.000000, tgt_acc=0.620833, best_tgt=0.633333
Round 21: src_acc=1.000000, tgt_acc=0.617708, best_tgt=0.633333
Round 22: src_acc=1.000000, tgt_acc=0.615625, best_tgt=0.633333
Round 23: src_acc=1.000000, tgt_acc=0.619792, best_tgt=0.633333
Round 24: src_acc=1.000000, tgt_acc=0.621875, best_tgt=0.633333
Round 25: src_acc=1.000000, tgt_acc=0.617708, best_tgt=0.633333
Round 26: src_acc=1.000000, tgt_acc=0.627083, best_tgt=0.633333
Round 27: src_acc=1.000000, tgt_acc=0.623958, best_tgt=0.633333
Round 28: src_acc=1.000000, tgt_acc=0.620833, best_tgt=0.633333
Round 29: src_acc=1.000000, tgt_acc=0.620833, best_tgt=0.633333
Round 30: src_acc=1.000000, tgt_acc=0.619792, best_tgt=0.633333
Round 31: src_acc=1.000000, tgt_acc=0.625000, best_tgt=0.633333
Round 32: src_acc=1.000000, tgt_acc=0.633333, best_tgt=0.633333
Round 33: src_acc=1.000000, tgt_acc=0.628125, best_tgt=0.633333
Round 34: src_acc=1.000000, tgt_acc=0.630208, best_tgt=0.633333
Round 35: src_acc=1.000000, tgt_acc=0.629167, best_tgt=0.633333
Round 36: src_acc=1.000000, tgt_acc=0.621875, best_tgt=0.633333
Round 37: src_acc=1.000000, tgt_acc=0.623958, best_tgt=0.633333
Round 38: src_acc=1.000000, tgt_acc=0.623958, best_tgt=0.633333
Round 39: src_acc=1.000000, tgt_acc=0.623958, best_tgt=0.633333
Round 40: src_acc=1.000000, tgt_acc=0.626042, best_tgt=0.633333
Round 41: src_acc=1.000000, tgt_acc=0.632292, best_tgt=0.633333
Round 42: src_acc=1.000000, tgt_acc=0.625000, best_tgt=0.633333
Round 43: src_acc=1.000000, tgt_acc=0.622917, best_tgt=0.633333
Round 44: src_acc=1.000000, tgt_acc=0.625000, best_tgt=0.633333
Round 45: src_acc=1.000000, tgt_acc=0.620833, best_tgt=0.633333
Round 46: src_acc=1.000000, tgt_acc=0.617708, best_tgt=0.633333
Round 47: src_acc=1.000000, tgt_acc=0.629167, best_tgt=0.633333
Round 48: src_acc=1.000000, tgt_acc=0.617708, best_tgt=0.633333
Round 49: src_acc=1.000000, tgt_acc=0.631250, best_tgt=0.633333
