Round 0: src_acc=0.809635, tgt_acc=0.542708, best_tgt=0.542708
Round 1: src_acc=0.876042, tgt_acc=0.562500, best_tgt=0.562500
Round 2: src_acc=0.942187, tgt_acc=0.564583, best_tgt=0.564583
Round 3: src_acc=0.926302, tgt_acc=0.557292, best_tgt=0.564583
Round 4: src_acc=0.968750, tgt_acc=0.547917, best_tgt=0.564583
Round 5: src_acc=0.969531, tgt_acc=0.561458, best_tgt=0.564583
Round 6: src_acc=0.982812, tgt_acc=0.582292, best_tgt=0.582292
Round 7: src_acc=0.991406, tgt_acc=0.586458, best_tgt=0.586458
Round 8: src_acc=0.990365, tgt_acc=0.622917, best_tgt=0.622917
Round 9: src_acc=0.969271, tgt_acc=0.508333, best_tgt=0.622917
Round 10: src_acc=0.999479, tgt_acc=0.573958, best_tgt=0.622917
Round 11: src_acc=1.000000, tgt_acc=0.588542, best_tgt=0.622917
Round 12: src_acc=1.000000, tgt_acc=0.605208, best_tgt=0.622917
Round 13: src_acc=1.000000, tgt_acc=0.591667, best_tgt=0.622917
Round 14: src_acc=1.000000, tgt_acc=0.592708, best_tgt=0.622917
Round 15: src_acc=1.000000, tgt_acc=0.604167, best_tgt=0.622917
Round 16: src_acc=1.000000, tgt_acc=0.594792, best_tgt=0.622917
Round 17: src_acc=1.000000, tgt_acc=0.608333, best_tgt=0.622917
Round 18: src_acc=1.000000, tgt_acc=0.613542, best_tgt=0.622917
Round 19: src_acc=1.000000, tgt_acc=0.619792, best_tgt=0.622917
Round 20: src_acc=1.000000, tgt_acc=0.611458, best_tgt=0.622917
Round 21: src_acc=1.000000, tgt_acc=0.622917, best_tgt=0.622917
Round 22: src_acc=1.000000, tgt_acc=0.614583, best_tgt=0.622917
Round 23: src_acc=1.000000, tgt_acc=0.605208, best_tgt=0.622917
Round 24: src_acc=1.000000, tgt_acc=0.616667, best_tgt=0.622917
Round 25: src_acc=1.000000, tgt_acc=0.617708, best_tgt=0.622917
Round 26: src_acc=1.000000, tgt_acc=0.628125, best_tgt=0.628125
Round 27: src_acc=1.000000, tgt_acc=0.627083, best_tgt=0.628125
Round 28: src_acc=1.000000, tgt_acc=0.623958, best_tgt=0.628125
Round 29: src_acc=1.000000, tgt_acc=0.623958, best_tgt=0.628125
Round 30: src_acc=1.000000, tgt_acc=0.627083, best_tgt=0.628125
Round 31: src_acc=1.000000, tgt_acc=0.620833, best_tgt=0.628125
Round 32: src_acc=1.000000, tgt_acc=0.622917, best_tgt=0.628125
Round 33: src_acc=1.000000, tgt_acc=0.630208, best_tgt=0.630208
Round 34: src_acc=1.000000, tgt_acc=0.627083, best_tgt=0.630208
Round 35: src_acc=1.000000, tgt_acc=0.619792, best_tgt=0.630208
Round 36: src_acc=1.000000, tgt_acc=0.617708, best_tgt=0.630208
Round 37: src_acc=1.000000, tgt_acc=0.626042, best_tgt=0.630208
Round 38: src_acc=1.000000, tgt_acc=0.631250, best_tgt=0.631250
Round 39: src_acc=1.000000, tgt_acc=0.616667, best_tgt=0.631250
Round 40: src_acc=1.000000, tgt_acc=0.626042, best_tgt=0.631250
Round 41: src_acc=1.000000, tgt_acc=0.622917, best_tgt=0.631250
Round 42: src_acc=1.000000, tgt_acc=0.627083, best_tgt=0.631250
Round 43: src_acc=1.000000, tgt_acc=0.630208, best_tgt=0.631250
Round 44: src_acc=1.000000, tgt_acc=0.620833, best_tgt=0.631250
Round 45: src_acc=1.000000, tgt_acc=0.628125, best_tgt=0.631250
Round 46: src_acc=1.000000, tgt_acc=0.623958, best_tgt=0.631250
Round 47: src_acc=1.000000, tgt_acc=0.628125, best_tgt=0.631250
Round 48: src_acc=1.000000, tgt_acc=0.621875, best_tgt=0.631250
Round 49: src_acc=1.000000, tgt_acc=0.622917, best_tgt=0.631250
