Round 0: src_acc=0.703125, tgt_acc=0.451042, best_tgt=0.451042
Round 1: src_acc=0.881510, tgt_acc=0.530208, best_tgt=0.530208
Round 2: src_acc=0.886979, tgt_acc=0.564583, best_tgt=0.564583
Round 3: src_acc=0.970052, tgt_acc=0.594792, best_tgt=0.594792
Round 4: src_acc=0.885417, tgt_acc=0.482292, best_tgt=0.594792
Round 5: src_acc=0.974740, tgt_acc=0.590625, best_tgt=0.594792
Round 6: src_acc=0.967708, tgt_acc=0.588542, best_tgt=0.594792
Round 7: src_acc=0.989583, tgt_acc=0.576042, best_tgt=0.594792
Round 8: src_acc=0.967969, tgt_acc=0.539583, best_tgt=0.594792
Round 9: src_acc=0.984115, tgt_acc=0.558333, best_tgt=0.594792
Round 10: src_acc=0.999740, tgt_acc=0.634375, best_tgt=0.634375
Round 11: src_acc=1.000000, tgt_acc=0.614583, best_tgt=0.634375
Round 12: src_acc=1.000000, tgt_acc=0.607292, best_tgt=0.634375
Round 13: src_acc=1.000000, tgt_acc=0.617708, best_tgt=0.634375
Round 14: src_acc=1.000000, tgt_acc=0.635417, best_tgt=0.635417
Round 15: src_acc=1.000000, tgt_acc=0.629167, best_tgt=0.635417
Round 16: src_acc=1.000000, tgt_acc=0.629167, best_tgt=0.635417
Round 17: src_acc=1.000000, tgt_acc=0.623958, best_tgt=0.635417
Round 18: src_acc=1.000000, tgt_acc=0.612500, best_tgt=0.635417
Round 19: src_acc=1.000000, tgt_acc=0.623958, best_tgt=0.635417
Round 20: src_acc=1.000000, tgt_acc=0.641667, best_tgt=0.641667
Round 21: src_acc=1.000000, tgt_acc=0.639583, best_tgt=0.641667
Round 22: src_acc=1.000000, tgt_acc=0.634375, best_tgt=0.641667
Round 23: src_acc=1.000000, tgt_acc=0.621875, best_tgt=0.641667
Round 24: src_acc=1.000000, tgt_acc=0.641667, best_tgt=0.641667
Round 25: src_acc=1.000000, tgt_acc=0.627083, best_tgt=0.641667
Round 26: src_acc=1.000000, tgt_acc=0.631250, best_tgt=0.641667
Round 27: src_acc=1.000000, tgt_acc=0.634375, best_tgt=0.641667
Round 28: src_acc=1.000000, tgt_acc=0.631250, best_tgt=0.641667
Round 29: src_acc=1.000000, tgt_acc=0.632292, best_tgt=0.641667
Round 30: src_acc=1.000000, tgt_acc=0.635417, best_tgt=0.641667
Round 31: src_acc=1.000000, tgt_acc=0.629167, best_tgt=0.641667
Round 32: src_acc=1.000000, tgt_acc=0.628125, best_tgt=0.641667
Round 33: src_acc=1.000000, tgt_acc=0.630208, best_tgt=0.641667
Round 34: src_acc=1.000000, tgt_acc=0.634375, best_tgt=0.641667
Round 35: src_acc=1.000000, tgt_acc=0.628125, best_tgt=0.641667
Round 36: src_acc=1.000000, tgt_acc=0.627083, best_tgt=0.641667
Round 37: src_acc=1.000000, tgt_acc=0.628125, best_tgt=0.641667
Round 38: src_acc=1.000000, tgt_acc=0.630208, best_tgt=0.641667
Round 39: src_acc=1.000000, tgt_acc=0.630208, best_tgt=0.641667
Round 40: src_acc=1.000000, tgt_acc=0.633333, best_tgt=0.641667
Round 41: src_acc=1.000000, tgt_acc=0.639583, best_tgt=0.641667
Round 42: src_acc=1.000000, tgt_acc=0.629167, best_tgt=0.641667
Round 43: src_acc=1.000000, tgt_acc=0.630208, best_tgt=0.641667
Round 44: src_acc=1.000000, tgt_acc=0.636458, best_tgt=0.641667
Round 45: src_acc=1.000000, tgt_acc=0.630208, best_tgt=0.641667
Round 46: src_acc=1.000000, tgt_acc=0.633333, best_tgt=0.641667
Round 47: src_acc=1.000000, tgt_acc=0.628125, best_tgt=0.641667
Round 48: src_acc=1.000000, tgt_acc=0.634375, best_tgt=0.641667
Round 49: src_acc=1.000000, tgt_acc=0.634375, best_tgt=0.641667
