Round 0: src_acc=0.936481, tgt_acc=0.937037, best_tgt=0.937037
Round 1: src_acc=0.931111, tgt_acc=0.917037, best_tgt=0.937037
Round 2: src_acc=0.969815, tgt_acc=0.946667, best_tgt=0.946667
Round 3: src_acc=0.975741, tgt_acc=0.952593, best_tgt=0.952593
Round 4: src_acc=0.988333, tgt_acc=0.957037, best_tgt=0.957037
Round 5: src_acc=0.989074, tgt_acc=0.964444, best_tgt=0.964444
Round 6: src_acc=0.980556, tgt_acc=0.953333, best_tgt=0.964444
Round 7: src_acc=0.989074, tgt_acc=0.961481, best_tgt=0.964444
Round 8: src_acc=0.989259, tgt_acc=0.961481, best_tgt=0.964444
Round 9: src_acc=0.994259, tgt_acc=0.959259, best_tgt=0.964444
Round 10: src_acc=0.999259, tgt_acc=0.971852, best_tgt=0.971852
Round 11: src_acc=0.999444, tgt_acc=0.968889, best_tgt=0.971852
Round 12: src_acc=0.999815, tgt_acc=0.975556, best_tgt=0.975556
Round 13: src_acc=1.000000, tgt_acc=0.974815, best_tgt=0.975556
Round 14: src_acc=1.000000, tgt_acc=0.974074, best_tgt=0.975556
Round 15: src_acc=1.000000, tgt_acc=0.976296, best_tgt=0.976296
Round 16: src_acc=1.000000, tgt_acc=0.977778, best_tgt=0.977778
Round 17: src_acc=1.000000, tgt_acc=0.973333, best_tgt=0.977778
Round 18: src_acc=1.000000, tgt_acc=0.977778, best_tgt=0.977778
Round 19: src_acc=1.000000, tgt_acc=0.975556, best_tgt=0.977778
Round 20: src_acc=1.000000, tgt_acc=0.975556, best_tgt=0.977778
Round 21: src_acc=1.000000, tgt_acc=0.974815, best_tgt=0.977778
Round 22: src_acc=1.000000, tgt_acc=0.973333, best_tgt=0.977778
Round 23: src_acc=1.000000, tgt_acc=0.974074, best_tgt=0.977778
Round 24: src_acc=1.000000, tgt_acc=0.975556, best_tgt=0.977778
Round 25: src_acc=1.000000, tgt_acc=0.974815, best_tgt=0.977778
Round 26: src_acc=1.000000, tgt_acc=0.976296, best_tgt=0.977778
Round 27: src_acc=1.000000, tgt_acc=0.974815, best_tgt=0.977778
Round 28: src_acc=1.000000, tgt_acc=0.975556, best_tgt=0.977778
Round 29: src_acc=1.000000, tgt_acc=0.975556, best_tgt=0.977778
Round 30: src_acc=1.000000, tgt_acc=0.977037, best_tgt=0.977778
