Round 0: src_acc=0.778646, tgt_acc=0.531250, best_tgt=0.531250
Round 1: src_acc=0.817969, tgt_acc=0.484375, best_tgt=0.531250
Round 2: src_acc=0.921354, tgt_acc=0.542708, best_tgt=0.542708
Round 3: src_acc=0.929688, tgt_acc=0.543750, best_tgt=0.543750
Round 4: src_acc=0.980729, tgt_acc=0.581250, best_tgt=0.581250
Round 5: src_acc=0.976042, tgt_acc=0.559375, best_tgt=0.581250
Round 6: src_acc=0.968750, tgt_acc=0.567708, best_tgt=0.581250
Round 7: src_acc=0.985938, tgt_acc=0.551042, best_tgt=0.581250
Round 8: src_acc=0.989844, tgt_acc=0.573958, best_tgt=0.581250
Round 9: src_acc=0.991927, tgt_acc=0.546875, best_tgt=0.581250
Round 10: src_acc=0.999479, tgt_acc=0.579167, best_tgt=0.581250
Round 11: src_acc=1.000000, tgt_acc=0.583333, best_tgt=0.583333
Round 12: src_acc=1.000000, tgt_acc=0.568750, best_tgt=0.583333
Round 13: src_acc=1.000000, tgt_acc=0.581250, best_tgt=0.583333
Round 14: src_acc=1.000000, tgt_acc=0.587500, best_tgt=0.587500
Round 15: src_acc=1.000000, tgt_acc=0.586458, best_tgt=0.587500
Round 16: src_acc=1.000000, tgt_acc=0.584375, best_tgt=0.587500
Round 17: src_acc=1.000000, tgt_acc=0.585417, best_tgt=0.587500
Round 18: src_acc=1.000000, tgt_acc=0.567708, best_tgt=0.587500
Round 19: src_acc=1.000000, tgt_acc=0.594792, best_tgt=0.594792
Round 20: src_acc=1.000000, tgt_acc=0.605208, best_tgt=0.605208
Round 21: src_acc=1.000000, tgt_acc=0.597917, best_tgt=0.605208
Round 22: src_acc=1.000000, tgt_acc=0.590625, best_tgt=0.605208
Round 23: src_acc=1.000000, tgt_acc=0.608333, best_tgt=0.608333
Round 24: src_acc=1.000000, tgt_acc=0.596875, best_tgt=0.608333
Round 25: src_acc=1.000000, tgt_acc=0.598958, best_tgt=0.608333
Round 26: src_acc=1.000000, tgt_acc=0.593750, best_tgt=0.608333
Round 27: src_acc=1.000000, tgt_acc=0.596875, best_tgt=0.608333
Round 28: src_acc=1.000000, tgt_acc=0.594792, best_tgt=0.608333
Round 29: src_acc=1.000000, tgt_acc=0.602083, best_tgt=0.608333
Round 30: src_acc=1.000000, tgt_acc=0.596875, best_tgt=0.608333
Round 31: src_acc=1.000000, tgt_acc=0.593750, best_tgt=0.608333
Round 32: src_acc=1.000000, tgt_acc=0.592708, best_tgt=0.608333
Round 33: src_acc=1.000000, tgt_acc=0.597917, best_tgt=0.608333
Round 34: src_acc=1.000000, tgt_acc=0.600000, best_tgt=0.608333
Round 35: src_acc=1.000000, tgt_acc=0.597917, best_tgt=0.608333
Round 36: src_acc=1.000000, tgt_acc=0.593750, best_tgt=0.608333
Round 37: src_acc=1.000000, tgt_acc=0.601042, best_tgt=0.608333
Round 38: src_acc=1.000000, tgt_acc=0.593750, best_tgt=0.608333
Round 39: src_acc=1.000000, tgt_acc=0.593750, best_tgt=0.608333
Round 40: src_acc=1.000000, tgt_acc=0.592708, best_tgt=0.608333
Round 41: src_acc=1.000000, tgt_acc=0.601042, best_tgt=0.608333
Round 42: src_acc=1.000000, tgt_acc=0.600000, best_tgt=0.608333
Round 43: src_acc=1.000000, tgt_acc=0.597917, best_tgt=0.608333
Round 44: src_acc=1.000000, tgt_acc=0.602083, best_tgt=0.608333
Round 45: src_acc=1.000000, tgt_acc=0.596875, best_tgt=0.608333
Round 46: src_acc=1.000000, tgt_acc=0.594792, best_tgt=0.608333
Round 47: src_acc=1.000000, tgt_acc=0.590625, best_tgt=0.608333
Round 48: src_acc=1.000000, tgt_acc=0.596875, best_tgt=0.608333
Round 49: src_acc=1.000000, tgt_acc=0.593750, best_tgt=0.608333
