Round 0: src_acc=0.783333, tgt_acc=0.490625, best_tgt=0.490625
Round 1: src_acc=0.864323, tgt_acc=0.484375, best_tgt=0.490625
Round 2: src_acc=0.896354, tgt_acc=0.538542, best_tgt=0.538542
Round 3: src_acc=0.973698, tgt_acc=0.597917, best_tgt=0.597917
Round 4: src_acc=0.970573, tgt_acc=0.615625, best_tgt=0.615625
Round 5: src_acc=0.975000, tgt_acc=0.579167, best_tgt=0.615625
Round 6: src_acc=0.976562, tgt_acc=0.537500, best_tgt=0.615625
Round 7: src_acc=0.983333, tgt_acc=0.556250, best_tgt=0.615625
Round 8: src_acc=0.987240, tgt_acc=0.578125, best_tgt=0.615625
Round 9: src_acc=0.982031, tgt_acc=0.569792, best_tgt=0.615625
Round 10: src_acc=1.000000, tgt_acc=0.591667, best_tgt=0.615625
Round 11: src_acc=0.999740, tgt_acc=0.590625, best_tgt=0.615625
Round 12: src_acc=1.000000, tgt_acc=0.598958, best_tgt=0.615625
Round 13: src_acc=1.000000, tgt_acc=0.613542, best_tgt=0.615625
Round 14: src_acc=1.000000, tgt_acc=0.608333, best_tgt=0.615625
Round 15: src_acc=1.000000, tgt_acc=0.605208, best_tgt=0.615625
Round 16: src_acc=1.000000, tgt_acc=0.595833, best_tgt=0.615625
Round 17: src_acc=1.000000, tgt_acc=0.601042, best_tgt=0.615625
Round 18: src_acc=1.000000, tgt_acc=0.612500, best_tgt=0.615625
Round 19: src_acc=1.000000, tgt_acc=0.628125, best_tgt=0.628125
Round 20: src_acc=1.000000, tgt_acc=0.622917, best_tgt=0.628125
Round 21: src_acc=1.000000, tgt_acc=0.622917, best_tgt=0.628125
Round 22: src_acc=1.000000, tgt_acc=0.618750, best_tgt=0.628125
Round 23: src_acc=1.000000, tgt_acc=0.613542, best_tgt=0.628125
Round 24: src_acc=1.000000, tgt_acc=0.614583, best_tgt=0.628125
Round 25: src_acc=1.000000, tgt_acc=0.614583, best_tgt=0.628125
Round 26: src_acc=1.000000, tgt_acc=0.606250, best_tgt=0.628125
Round 27: src_acc=1.000000, tgt_acc=0.609375, best_tgt=0.628125
Round 28: src_acc=1.000000, tgt_acc=0.635417, best_tgt=0.635417
Round 29: src_acc=1.000000, tgt_acc=0.604167, best_tgt=0.635417
Round 30: src_acc=1.000000, tgt_acc=0.612500, best_tgt=0.635417
Round 31: src_acc=1.000000, tgt_acc=0.619792, best_tgt=0.635417
Round 32: src_acc=1.000000, tgt_acc=0.633333, best_tgt=0.635417
Round 33: src_acc=1.000000, tgt_acc=0.630208, best_tgt=0.635417
Round 34: src_acc=1.000000, tgt_acc=0.629167, best_tgt=0.635417
Round 35: src_acc=1.000000, tgt_acc=0.625000, best_tgt=0.635417
Round 36: src_acc=1.000000, tgt_acc=0.631250, best_tgt=0.635417
Round 37: src_acc=1.000000, tgt_acc=0.633333, best_tgt=0.635417
Round 38: src_acc=1.000000, tgt_acc=0.625000, best_tgt=0.635417
Round 39: src_acc=1.000000, tgt_acc=0.625000, best_tgt=0.635417
Round 40: src_acc=1.000000, tgt_acc=0.629167, best_tgt=0.635417
Round 41: src_acc=1.000000, tgt_acc=0.618750, best_tgt=0.635417
Round 42: src_acc=1.000000, tgt_acc=0.628125, best_tgt=0.635417
Round 43: src_acc=1.000000, tgt_acc=0.622917, best_tgt=0.635417
Round 44: src_acc=1.000000, tgt_acc=0.621875, best_tgt=0.635417
Round 45: src_acc=1.000000, tgt_acc=0.635417, best_tgt=0.635417
Round 46: src_acc=1.000000, tgt_acc=0.619792, best_tgt=0.635417
Round 47: src_acc=1.000000, tgt_acc=0.622917, best_tgt=0.635417
Round 48: src_acc=1.000000, tgt_acc=0.622917, best_tgt=0.635417
Round 49: src_acc=1.000000, tgt_acc=0.615625, best_tgt=0.635417
